Contenido #,Título
1,La comunidad como el espacio en el que se vive y se encuentra la escuela.
2,"Actitudes y prácticas que prevalecen entre los hombres y las mujeres en las familias, la escuela y la comunidad."
3,"Efectos de la pandemia de COVID-19 en las familias, la escuela y la comunidad."
4,Historia personal y familiar.
5,Sentido de pertenencia a la familia y la comunidad.
6,"Formas de ser, pensar, actuar y relacionarse."
7,construcción del proyecto de vida.
8,Educación integral en Sexualidad.
9,capacidades y habilidades motrices.
10,"Posibilidades cognitivas, expresivas, motrices, creativas y de relación."
11,Estilos de vida activos y saludables.
12,"Pensamiento lúdico, divergente y creativo."
13,Interacción motriz.
14,Acciones individuales que repercuten en la conservación y mejora de la salud.
15,Sentido de comunidad y satisfacción de necesidades humanas.
16,"Situaciones de riesgo social en las familias, escuela y comunidad."
17,Prácticas de prevención y respuesta ante desastres ambientales.
18,Apoyos mutuos para favorecer los aprendizajes en el aula diversa.
19,Aproximación a las tecnologías de la información y la comunicación.
20,Los efectos y su influencia en el bienestar.
