Contenido #,Contenido,PDA #,Grado,Descripción
1,La comunidad como el espacio en el que se vive y se encuentra la escuela.,1,1°,Ubica algunos referentes del lugar donde vive y se encuentra la escuela.
1,La comunidad como el espacio en el que se vive y se encuentra la escuela.,1,1°,"Platica sobre las características geográficas, climáticas, ambientales, socioculturales y lingüísticas de su comunidad y escuela."
2,"Actitudes y prácticas que prevalecen entre los hombres y las mujeres en las familias, la escuela y la comunidad.",2,1°,Platica acerca de la organización de las responsabilidades y tareas en su familia.
2,"Actitudes y prácticas que prevalecen entre los hombres y las mujeres en las familias, la escuela y la comunidad.",2,1°,"Identifica la importancia de la participación equilibrada entre hombres y mujeres, adultos, niñas y niños en la cotidianeidad familiar."
3,"Efectos de la pandemia de COVID-19 en las familias, la escuela y la comunidad.",3,1°,"Comenta y reflexiona con sus compañeras y compañeros, acerca de los cambios que se produjeron durante la pandemia, en las actividades familiares, escolares y comunitarias, como: el uso de los espacios, el tiempo, las formas de comunicación, entre otros."
4,Historia personal y familiar.,4,1°,"Platica sobre sucesos de su historia personal y familiar y los ordena en antes, después y ahora."
5,Sentido de pertenencia a la familia y la comunidad.,5,1°,Identifica aspectos de la historia familiar y de la comunidad compartidos.
5,Sentido de pertenencia a la familia y la comunidad.,5,1°,"Reconoce y comparte valores, como: la solidaridad, la participación, la reciprocidad, el respeto, entre otros, así como estilos socioculturales propios de su familia y comunidad."
6,"Formas de ser, pensar, actuar y relacionarse.",6,1°,"Reconoce y descubre sus características y cambios (corporales, gustos, intereses, habilidades, necesidades y capacidades) que le hacen una persona única, con la finalidad de valorar y respetar la diversidad."
7,construcción del proyecto de vida.,7,1°,"Explica situaciones cotidianas que se presentan en la escuela y la casa, con la intención de proponer acuerdos que generen una mejor convivencia."
7,construcción del proyecto de vida.,7,1°,"Identifica las necesidades y logros que ha tenido en diferentes momentos de su historia, para comparar cambios que inciden en el desarrollo de la autonomía y una mayor participación."
8,Educación integral en Sexualidad.,8,1°,"Reflexiona acerca de las diversas formas de ser y actuar de hombres y mujeres a partir de distintas situaciones cotidianas, para reconocer manifestaciones en favor de una interacción respetuosa y convivencia sana."
9,capacidades y habilidades motrices.,9,1°,"Utiliza patrones básicos de movimiento ante situaciones que implican explorar los diferentes espacios, el tiempo y los objetos, para favorecer el conocimiento de sí."
10,"Posibilidades cognitivas, expresivas, motrices, creativas y de relación.",10,1°,"Explora acciones motrices y expresivas en juegos y situaciones cotidianas que implican equilibrio, orientación espacial-temporal y coordinación motriz, para mejorar el conocimiento de sí."
11,Estilos de vida activos y saludables.,11,1°,Participa en diferentes juegos para explorar alternativas que le permitan mantener una vida activa y saludable.
12,"Pensamiento lúdico, divergente y creativo.",12,1°,"Busca distintas soluciones ante una misma situación de juego o cotidiana, con la intención de poner en práctica la creatividad."
13,Interacción motriz.,13,1°,Colabora en la definición de normas básicas de convivencia para reconocer su influencia en la interacción presente en juegos y situaciones cotidianas.
14,Acciones individuales que repercuten en la conservación y mejora de la salud.,14,1°,"Reconoce la importancia de la práctica de hábitos de higiene y limpieza en el cuidado personal, así como de otros seres vivos, con la intención de contribuir a la prevención de problemas de salud."
14,Acciones individuales que repercuten en la conservación y mejora de la salud.,14,1°,Explica la importancia de incluir alimentos saludables de los distintos grupos para colaborar en la modificación de hábitos de consumo personales y familiares que favorecen la salud.
14,Acciones individuales que repercuten en la conservación y mejora de la salud.,14,1°,"Intercambia experiencias acerca de situaciones de riesgo, para compartir acciones encaminadas a su prevención."
15,Sentido de comunidad y satisfacción de necesidades humanas.,15,1°,"Indaga acerca de ideas, conocimientos, prácticas culturales, formas de organización y acuerdos familiares, para compartir su importancia."
15,Sentido de comunidad y satisfacción de necesidades humanas.,15,1°,"Compara necesidades de las familias en diferentes contextos y las formas de utilizar el cuerpo u organizarse en su satisfacción, para explicar cambios y mejoras que se han presentado."
16,"Situaciones de riesgo social en las familias, escuela y comunidad.",16,1°,"Reconoce situaciones de riesgos sociales en las familias, la escuela y la comunidad, así como la importancia del autocuidado, la no violencia y la convivencia pacífica."
17,Prácticas de prevención y respuesta ante desastres ambientales.,17,1°,Participa en las prácticas familiares de prevención y respuesta ante fenómenos naturales que ponen en riesgo su integridad.
18,Apoyos mutuos para favorecer los aprendizajes en el aula diversa.,18,1°,"Identifica y valora la presencia de diferentes lenguas y lenguajes en el aula y ofrece apoyos a sus pares, si es necesario."
19,Aproximación a las tecnologías de la información y la comunicación.,19,1°,Reconoce las tecnologías que se utilizan en su entorno y los beneficios que proporcionan en la comunicación y el aprendizaje.
20,Los efectos y su influencia en el bienestar.,20,1°,"Conoce las emociones básicas, su función y reacciones fisiológicas, para interactuar con sus pares."
20,Los efectos y su influencia en el bienestar.,20,1°,"Reconoce emociones básicas en él o ella y en las demás personas, con el fin de identificar situaciones donde se necesite pedir u ofrecer ayuda."
