Contenido #,Contenido,PDA #,Grado,Descripción
1,La comunidad como el espacio en el que se vive y se encuentra la escuela.,1,1°,Ubica algunos referentes del lugar donde vive y se encuentra la escuela.
1,La comunidad como el espacio en el que se vive y se encuentra la escuela.,1,1°,"Platica sobre las características geográficas, climáticas, ambientales, socioculturales y lingüísticas de su comunidad y escuela."
1,La comunidad como el espacio en el que se vive y se encuentra la escuela.,1,2°,"Identifica las ventajas que conlleva: la seguridad, el intercambio, el sentido de pertenencia, la afectividad, el ser parte de una comunidad, barrio, unidad habitacional u otros espacios y grupos sociales."
1,La comunidad como el espacio en el que se vive y se encuentra la escuela.,1,2°,"Reconoce diferentes problemáticas sociales y ambientales de su comunidad, y reflexiona sobre algunas acciones para solucionarlas."
2,"Actitudes y prácticas que prevalecen entre los hombres y las mujeres en las familias, la escuela y la comunidad.",2,1°,Platica acerca de la organización de las responsabilidades y tareas en su familia.
2,"Actitudes y prácticas que prevalecen entre los hombres y las mujeres en las familias, la escuela y la comunidad.",2,1°,"Identifica la importancia de la participación equilibrada entre hombres y mujeres, adultos, niñas y niños en la cotidianeidad familiar."
2,"Actitudes y prácticas que prevalecen entre los hombres y las mujeres en las familias, la escuela y la comunidad.",2,2°,"Analiza las situaciones acerca de la participación de hombres y mujeres, en las actividades familiares, incluyendo el sostenimiento económico."
2,"Actitudes y prácticas que prevalecen entre los hombres y las mujeres en las familias, la escuela y la comunidad.",2,2°,"Reconoce la aportación de mujeres y hombres, en las actividades de la escuela y la comunidad"
3,"Efectos de la pandemia de COVID-19 en las familias, la escuela y la comunidad.",3,1°,"Comenta y reflexiona con sus compañeras y compañeros, acerca de los cambios que se produjeron durante la pandemia, en las actividades familiares, escolares y comunitarias, como: el uso de los espacios, el tiempo, las formas de comunicación, entre otros."
3,"Efectos de la pandemia de COVID-19 en las familias, la escuela y la comunidad.",3,2°,"Expresa, mediante diferentes recursos, sus experiencias sobre los cambios en la vida y las actividades durante la pandemia en las familias, la escuela y la comunidad."
3,"Efectos de la pandemia de COVID-19 en las familias, la escuela y la comunidad.",3,2°,"Reflexiona en torno a sus experiencias en cuanto al aprendizaje en línea, cambios en las relaciones con sus pares y nuevas formas de comunicación a través de las tecnologías digitales."
4,Historia personal y familiar.,4,1°,"Platica sobre sucesos de su historia personal y familiar y los ordena en antes, después y ahora."
4,Historia personal y familiar.,4,2°,"Escribe acerca de sucesos de su historia personal y familiar y los apoya con dibujos, fotografías o imágenes, ordenados cronológicamente."
5,Sentido de pertenencia a la familia y la comunidad.,5,1°,Identifica aspectos de la historia familiar y de la comunidad compartidos.
5,Sentido de pertenencia a la familia y la comunidad.,5,1°,"Reconoce y comparte valores, como: la solidaridad, la participación, la reciprocidad, el respeto, entre otros, así como estilos socioculturales propios de su familia y comunidad."
5,Sentido de pertenencia a la familia y la comunidad.,5,2°,Entrevista a familiares o integrantes de su comunidad acerca de los aspectos que se comparten entre todas y todos.
5,Sentido de pertenencia a la familia y la comunidad.,5,2°,Redacta breves textos acerca de lo que les es común a los miembros de la familia y la comunidad.
5,Sentido de pertenencia a la familia y la comunidad.,5,2°,"Responde sobre ¿quiénes somos?, ¿de dónde somos? y ¿qué tenemos en común?"
6,"Formas de ser, pensar, actuar y relacionarse.",6,1°,"Reconoce y descubre sus características y cambios (corporales, gustos, intereses, habilidades, necesidades y capacidades) que le hacen una persona única, con la finalidad de valorar y respetar la diversidad."
6,"Formas de ser, pensar, actuar y relacionarse.",6,2°,Explora sus posibilidades y las de otras personas para mostrar empatía acerca de las situaciones y condiciones que inciden en el desarrollo personal y colectivo.
7,construcción del proyecto de vida.,7,1°,"Explica situaciones cotidianas que se presentan en la escuela y la casa, con la intención de proponer acuerdos que generen una mejor convivencia."
7,construcción del proyecto de vida.,7,1°,"Identifica las necesidades y logros que ha tenido en diferentes momentos de su historia, para comparar cambios que inciden en el desarrollo de la autonomía y una mayor participación."
