Contenido #,Título
1,Escritura de nombres en la lengua materna.
2,Lectura compartida en voz alta.
3,"Narración de actividades y eventos relevantes que tengan lugar en la familia, la escuela o el resto de la comunidad."
4,Escritura colectiva por medio del dictado.
5,"Descripción de objetos, lugares y seres vivos."
6,Uso de convenciones de la escritura presentes en la cotidianeidad.
7,Uso del y/o escritura para recordar actividades y acuerdos escolares.
8,"Registro y/o resumen de información consultada en fuentes orales, escritas, audiovisuales, táctiles o sonoras, para estudiar y/o exponer."
9,"Empleo de textos con instrucciones para participar en juegos, usar o elaborar objetos, preparar alimentos u otros propósitos."
10,"Producción e interpretación de avisos, carteles, anuncios publicitarios y letreros en la vida cotidiana."
11,Elaboración y difusión de notas informativas en la escuela y el resto de la comunidad.
12,"Producción de textos dirigidos a autoridades y personas de la comunidad, en relación con necesidades, intereses o actividades escolares."
13,"Lectura, escritura y otros tipos de interacción mediante lenguajes que ocurren en el contexto familiar."
14,Comunicación a distancia con familiares u otras personas.
15,Conversaciones o entrevistas con personas de la comunidad y otros lugares.
16,"Reconocimiento de la diversidad lingüística y cultural en la familia, la escuela y el resto de la comunidad."
17,"Exploración de testimonios escritos, fotográficos y audiovisuales del pasado familiar y comunitario.."
18,Reflexión sobre los medios de comunicación.
19,Uso de elementos de los lenguajes artísticos en la vida cotidiana.
20,Uso de los lenguajes artísticos para expresar rasgos de las identidades personal y colectiva.
21,Intervención del entorno familiar y escolar para imaginar y realizar propuestas de mejora.
22,"Apreciación canciones, rondas infantiles, arrullos y cuentos."
23,Experimentación con elementos sonoros en composiciones literarias.
24,Interacción con manifestaciones culturales y artísticas.
25,"Recreación de historias mediante el uso artístico de las palabras, del cuerpo, del espacio y del tiempo."
26,Representación de distintas formas de ser y estar en el mundo a partir de la ficción.
