Contenido #,Contenido,PDA #,Grado,Descripción
1,Escritura de nombres en la lengua materna.,1,2°,"Escribe su nombre y apellidos y de sus de familiares, profesoras y profesores, pares y otras personas de su entorno para indicar autoría, pertenencia e identidad."
1,Escritura de nombres en la lengua materna.,1,2°,"Compara características de c, s, z, b, v, h, g, j, i, y, II, k, q, r, rr, w, x, etcétera.."
3,"Narración de actividades y eventos relevantes que tengan lugar en la familia, la escuela o el resto de la comunidad.",3,2°,"Narra actividades y eventos que han tenido lugar en la escuela, empleando una organización temporal y causal."
3,"Narración de actividades y eventos relevantes que tengan lugar en la familia, la escuela o el resto de la comunidad.",3,2°,"Escucha narraciones, comenta y pregunta sobre aquello que le interesa, no comprende o le causa extrañeza."
3,"Narración de actividades y eventos relevantes que tengan lugar en la familia, la escuela o el resto de la comunidad.",3,2°,"Regula, al narrar, las formas de expresarse, cuidando la claridad, secuencia de ideas y precisión."
3,"Narración de actividades y eventos relevantes que tengan lugar en la familia, la escuela o el resto de la comunidad.",3,2°,"Reconoce y respeta diferentes formas de interactuar adecuadas a cada situación comunicativa como la participación por turnos, la escucha activa, etc."
3,"Narración de actividades y eventos relevantes que tengan lugar en la familia, la escuela o el resto de la comunidad.",3,2°,"Recrea y comparte un evento de la escuela con viñetas constituidas por dibujo y texto, cuidando el orden temporal y causal.."
4,Escritura colectiva por medio del dictado.,4,2°,"Produce diferentes textos de manera colectiva, mediante el dictado, tomando en cuenta el propósito comunicativo, las y los destinatarios y los tipos de texto."
4,Escritura colectiva por medio del dictado.,4,2°,"Elabora colectivamente cuentos, versos rimados y otros textos con secuencia lógica, descripción de personajes y lugares."
4,Escritura colectiva por medio del dictado.,4,2°,Reconoce distintas formas de organización en los diferentes tipos de texto.
4,Escritura colectiva por medio del dictado.,4,2°,"Identifica otros signos que acompañan a las letras en la escritura (interrogación, exclamación, puntos, comas, vírgula, etcétera)."
4,Escritura colectiva por medio del dictado.,4,2°,"Revisa y corrige el texto que dicta o le dictan, a fin de verificar que se entiende lo que se quiere comunicar; identifica palabras que se repiten y da sugerencias para sustituirlas.."
5,"Descripción de objetos, lugares y seres vivos.",6,2°,"Describe de forma oral y escrita, en su lengua materna, objetos, lugares y seres vivos de su entorno natural y social."
5,"Descripción de objetos, lugares y seres vivos.",6,2°,"Representa objetos, lugares y seres vivos de forma plástica, sonora, corporal, teatral y/o por medio de otros lenguajes artísticos.."
6,Uso de convenciones de la escritura presentes en la cotidianeidad.,6,2°,Identifica letras en textos escritos en español y en lengua(s) indígena(s).
6,Uso de convenciones de la escritura presentes en la cotidianeidad.,6,2°,Diferencia convenciones de la escritura en español y en alguna(s) lengua(s) indígena(s).
6,Uso de convenciones de la escritura presentes en la cotidianeidad.,6,2°,"Reconoce letras que pueden relacionarse con sonidos diferentes, así como sonidos equivalentes que pueden relacionarse con letras distintas y asocia los sonidos vocálicos y consonánticos con sus letras correspondientes."
6,Uso de convenciones de la escritura presentes en la cotidianeidad.,6,2°,"Escribe nombres propios iniciando con una mayúscula, empleando espacios entre palabras y comienza a hacer uso de signos de puntuación en su escritura, reflexionando sobre la existencia de las convenciones de los lenguajes.."
7,Uso del y/o escritura para recordar actividades y acuerdos escolares.,7,2°,"Registra por escrito instrucciones breves para realizar actividades en casa, listas de materiales o datos, asentar normas, etcétera.."
8,"Registro y/o resumen de información consultada en fuentes orales, escritas, audiovisuales, táctiles o sonoras, para estudiar y/o exponer.",8,2°,"Registra información sobre un tema, a partir de la indagación en familia y el resto de la comunidad."
8,"Registro y/o resumen de información consultada en fuentes orales, escritas, audiovisuales, táctiles o sonoras, para estudiar y/o exponer.",8,2°,"Expone con congruencia, de manera oral o, en su caso, lengua de señas, su registro del tema."
8,"Registro y/o resumen de información consultada en fuentes orales, escritas, audiovisuales, táctiles o sonoras, para estudiar y/o exponer.",8,2°,"Registra y organiza información a través de la escritura, videograbación, esquematización, modelación, sobre temas de su interés, a partir de indagación en libros, revistas, periódicos, audiovisuales y con personas de la comunidad."
8,"Registro y/o resumen de información consultada en fuentes orales, escritas, audiovisuales, táctiles o sonoras, para estudiar y/o exponer.",8,2°,"Expone información registrada y organizada, de manera oral o en lengua de señas, con apoyo de imágenes, sonidos, actuación u otros recursos.."
9,"Empleo de textos con instrucciones para participar en juegos, usar o elaborar objetos, preparar alimentos u otros propósitos.",9,2°,Realiza actividades a partir de la lectura de instructivos.
