Contenido #,Título
1,"Cuerpo humano: estructura externa, acciones para su cuidado y sus cambios como parte del crecimiento."
2,"Beneficios del consumo de alimentos saludables, de agua simple potable, y de la práctica de actividad física."
3,Características del entorno natural y sociocultural.
4,"Impacto de las actividades humanas en el entorno natural, así como acciones y prácticas socioculturales para su cuidado."
5,"Objetos del entorno: Características, propiedades, espacios físicos y usos en la vida cotidiana."
6,Efectos de la aplicación de fuerzas: movimiento y deformación.
7,Características del sonido y la luz.
8,Cambios y regularidades de fenómenos naturales y actividades de las personas.
9,Estudio de los números.
10,"Construcción de la noción de suma y resta, y su relación como operaciones inversas."
11,"Construcción de la noción de multiplicación y división, y su relación como operaciones inversas."
12,Cuerpos geométricos y sus características.
13,Figuras geométricas y sus características.
14,"Medición de longitud, masa y capacidad."
15,Medición del tiempo.
16,Organización e interpretación de datos.
