Contenido #,Contenido,PDA #,Grado,Descripción
1,"Cuerpo humano: estructura externa, acciones para su cuidado y sus cambios como parte del crecimiento.",1,2°,"Reconoce y describe los órganos de los sentidos y su función; explica y representa acciones que los ponen en riesgo, así como aquellas que previenen accidentes y que favorecen su cuidado."
1,"Cuerpo humano: estructura externa, acciones para su cuidado y sus cambios como parte del crecimiento.",1,2°,"Identifica los órganos sexuales externos como una característica natural de las personas, utiliza los nombres correctos para referirse a ellos (vulva, pene y testículos), y reconoce la importancia de practicar hábitos de higiene."
1,"Cuerpo humano: estructura externa, acciones para su cuidado y sus cambios como parte del crecimiento.",1,2°,"Reconoce que los órganos sexuales son partes privadas que no deben ser tocadas por otras personas, para propiciar el autoconocimiento, el autocuidado y el respeto."
2,"Beneficios del consumo de alimentos saludables, de agua simple potable, y de la práctica de actividad física.",2,2°,Reconoce y representa el tipo y la cantidad de alimentos que consume en comparación con el consumo de los adultos y con la actividad física que realizan.
2,"Beneficios del consumo de alimentos saludables, de agua simple potable, y de la práctica de actividad física.",2,2°,"Reconoce y clasifica los alimentos y bebidas, que consume en la escuela y en su casa, en naturales, procesados y ultraprocesados; e infiere sus implicaciones en salud."
2,"Beneficios del consumo de alimentos saludables, de agua simple potable, y de la práctica de actividad física.",2,2°,"Describe los alimentos y bebidas saludables que se producen localmente (frutas, verduras carnes, lácteos, fermentados, entre otros) y se consumen en ciertos momentos del año, de acuerdo con su contexto y las prácticas socioculturales."
3,Características del entorno natural y sociocultural.,3,2°,"Compara y describe las características naturales de diferentes lugares de México como desiertos, selvas, arrecifes de coral, manglares, entre otros; a partir de identificar cómo son, si hace frío o calor, la frecuencia con que llueve, cómo son las plantas y los animales que viven en los lugares, o de qué se alimentan."
3,Características del entorno natural y sociocultural.,3,2°,"Observa, con apoyo de lupas y lentes de aumento, plantas y animales para comparar y representar sus características: forma y número de patas, lugar donde habitan, cómo se desplazan, qué comen o qué necesitan para vivir, textura y forma de las hojas, tallos, si son árboles, arbustos o yerbas; describe algunas interacciones de plantas y animales con otros componentes naturales (agua, suelo, aire, Sol)."
3,Características del entorno natural y sociocultural.,3,2°,"Reconoce y describe cómo las personas aprovechan los componentes naturales para satisfacer sus necesidades de vestido, alimentación y vivienda."
4,"Impacto de las actividades humanas en el entorno natural, así como acciones y prácticas socioculturales para su cuidado.",4,2°,"Describe y representa el efecto que tienen las actividades humanas en plantas, animales, agua, suelo y aire; reflexiona en torno a la manera en cómo se aprovechan y toma decisiones que tengan un menor impacto en el entorno natural y la salud."
