Contenido #,Contenido,PDA #,Grado,Descripción
1,"Cuerpo humano: estructura externa, acciones para su cuidado y sus cambios como parte del crecimiento.",1,1°,"Compara y representa las partes externas del cuerpo humano, explica su funcionamiento; propone y practica acciones para cuidarlo y argumenta frecuencia con que recomendable llevarlas a cabo y por qué."
1,"Cuerpo humano: estructura externa, acciones para su cuidado y sus cambios como parte del crecimiento.",1,1°,"Describe sus características físicas y las de sus pares para favorecer el autoconocimiento y reconocer que todos los cuerpos son especiales, únicos e irrepetibles y merecen ser respetados."
1,"Cuerpo humano: estructura externa, acciones para su cuidado y sus cambios como parte del crecimiento.",1,1°,"Identifica, representa cronológicamente y comunica cómo es ahora y cómo era antes con base en características físicas, gustos, intereses, o actividades que realiza, e infiere algunos cambios que tendrá en el futuro al compararse con personas mayores y reconoce que son parte del crecimiento."
1,"Cuerpo humano: estructura externa, acciones para su cuidado y sus cambios como parte del crecimiento.",1,2°,"Reconoce y describe los órganos de los sentidos y su función; explica y representa acciones que los ponen en riesgo, así como aquellas que previenen accidentes y que favorecen su cuidado."
1,"Cuerpo humano: estructura externa, acciones para su cuidado y sus cambios como parte del crecimiento.",1,2°,"Identifica los órganos sexuales externos como una característica natural de las personas, utiliza los nombres correctos para referirse a ellos (vulva, pene y testículos), y reconoce la importancia de practicar hábitos de higiene."
1,"Cuerpo humano: estructura externa, acciones para su cuidado y sus cambios como parte del crecimiento.",1,2°,"Reconoce que los órganos sexuales son partes privadas que no deben ser tocadas por otras personas, para propiciar el autoconocimiento, el autocuidado y el respeto."
2,"Beneficios del consumo de alimentos saludables, de agua simple potable, y de la práctica de actividad física.",2,1°,"Indaga, registra y compara el tipo, la frecuencia y la cantidad de bebidas y alimentos que consume de manera personal en casa y la escuela."
2,"Beneficios del consumo de alimentos saludables, de agua simple potable, y de la práctica de actividad física.",2,,"Explica y representa los beneficios de consumir alimentos saludables (frutas, verduras, cereales, leguminosas y de origen animal), y agua simple potable, al compararlos con alimentos con"
2,"Beneficios del consumo de alimentos saludables, de agua simple potable, y de la práctica de actividad física.",2,1°,"Describe los alimentos y bebidas saludables que consume en casa, escuela y comunidad, y que junto con la práctica de actividad física le ayudan a crecer y evitar enfermedades."
2,"Beneficios del consumo de alimentos saludables, de agua simple potable, y de la práctica de actividad física.",2,2°,Reconoce y representa el tipo y la cantidad de alimentos que consume en comparación con el consumo de los adultos y con la actividad física que realizan.
2,"Beneficios del consumo de alimentos saludables, de agua simple potable, y de la práctica de actividad física.",2,2°,"Reconoce y clasifica los alimentos y bebidas, que consume en la escuela y en su casa, en naturales, procesados y ultraprocesados; e infiere sus implicaciones en salud."
