Contenido #,Título
1,"Diversos contextos sociales, naturales y territoriales: cambios y continuidades."
2,"Respeto, cuidado y empatía hacia la naturaleza, como parte de un todo interdependiente."
3,"Impacto de las actividades humanas en la naturaleza y sustentabilidad: actividades humanas que afectan a la naturaleza, y la necesidad de establecer compromisos que contribuyan a la preservación y prevención y disminución del impacto socio ambiental."
4,"Cambios en la naturaleza del lugar donde vive, y su relación con las actividades humanas cotidianas que tienen orden cronológico, asociadas a ciclos agrícolas y festividades, así como su vinculo con la noción de tiempo y espacio histórico (*antes, durante y después*)"
5,"Los seres humanos son diversos y valiosos, y tienen derechos humanos."
6,"Atención a las necesidades básicas, como parte del ejercicio de los derechos humanos."
7,"Situaciones de violencia, injusticia o discriminación, que afectan a integrantes de nuestras familias, la escuela o la comunidad."
8,"Respeto a la dignidad e integridad: límites corporales y situaciones de riesgo para prevenir y denunciar situaciones de acoso, abuso y violencia de carácter sexual en la casa, la escuela, la comunidad y con el uso de internet y redes sociales."
9,"Responsabilidad compartida en el cuidado de sí y el de nuestro entorno con la familia, la escuela, la comunidad, el uso del internet y redes sociales, para generar espacios de bienestar e inclusión, equidad e igualdad."
10,"Historia personal y familiar, diversidad de familias y el derecho a pertenecer a una."
11,"Construcción de la paz mediante el diálogo: situaciones de conflicto o discrepancia como parte de la interacción de los seres humanos en la casa, el aula, la escuela y la comunidad."
12,"Democracia como forma de vida: construcción participativa de normas, reglas y acuerdos para alcanzar metas colectivas y contribuir a una convivencia pacífica en nuestra casa, el aula, la escuela y la comunidad, así como las consecuencias de no respetar los acuerdos, reglas y normas escolares y comunitarias."
13,"Funciones y responsabilidades de las autoridades, de la familia, la escuela y la comunidad para la organización de la convivencia, la resolución de conflictos y el cumplimiento de acuerdos y normas de manera participativa y pacífica."
14,"Situaciones de la vida diaria en las que niñas y niños pueden o no tomar decisiones, y en las que se requiere ayuda, valorando los límites y riesgos del entorno."
15,"El derecho a la igualdad de género y vida sin violencia: estereotipos de género que pueden inducir a formas de violencia, desigualdad y discriminación."
16,"Manifestaciones culturales y símbolos que identifican a los diversos pueblos indígenas, afrodescendientes y migrantes y a México como nación."
17,Historia de la vida cotidiana: cambios en el tiempo y el espacio ocurridos en la comunidad.
18,Personas en situación de migración y sus derechos.
