Contenido #,Contenido,PDA #,Grado,Descripción
1,"Diversos contextos sociales, naturales y territoriales: cambios y continuidades.",1,2°,"Comprende que, tanto de forma individual como colectiva, es parte de un contexto social, natural y territorial que se distingue de otros contextos."
1,"Diversos contextos sociales, naturales y territoriales: cambios y continuidades.",1,2°,"Describe algunos cambios y continuidades de su entorno, y se ubica espacialmente a través de croquis y mapas."
2,"Respeto, cuidado y empatía hacia la naturaleza, como parte de un todo interdependiente.",2,2°,"Se reconoce a sí mismo o a sí misma como parte del lugar donde vive y en relación con otros seres vivos (animales, plantas, hongos y microorganismos) y componentes de la naturaleza (cuerpos de agua, suelos, aire, desiertos, bosques, arrecifes e islas, entre otros); y dialoga acerca de los sentimientos que le provoca esa relación."
2,"Respeto, cuidado y empatía hacia la naturaleza, como parte de un todo interdependiente.",2,2°,"Dialoga acerca de las responsabilidades hacia la naturaleza y muestra respeto, cuidado y empatia hacia sus componentes, proponiendo acciones a favor de la naturaleza, en general, y de los seres vivos, en particular en la medida de sus posibilidades."
3,"Impacto de las actividades humanas en la naturaleza y sustentabilidad: actividades humanas que afectan a la naturaleza, y la necesidad de establecer compromisos que contribuyan a la preservación y prevención y disminución del impacto socio ambiental.",3,2°,"Relaciona las actividades humanas con la naturaleza, al identificar aquellas que pueden tener un efecto negativo, planteando la posibilidad de realizar cambios en las actividades y acciones individuales, familiares y comunitarias, para promover el cuidado responsable, la regeneración y la preservación de los seres vivos, el agua, el aire y el suelo en su entorno inmediato y lejano."
4,"Cambios en la naturaleza del lugar donde vive, y su relación con las actividades humanas cotidianas que tienen orden cronológico, asociadas a ciclos agrícolas y festividades, así como su vinculo con la noción de tiempo y espacio histórico (*antes, durante y después*)",4,2°,"Identifica cambios en la naturaleza del lugar donde vive, y comprende su relación con las actividades humanas cotidianas, usando nociones como “antes, ahora y después” y en orden cronológico (semanas, meses, años, décadas, estaciones asociadas a ciclos agrícolas y festividades), reconociendo que existen diferentes formas de nombrarlas y entenderlas de acuerdo con el contexto."
4,"Cambios en la naturaleza del lugar donde vive, y su relación con las actividades humanas cotidianas que tienen orden cronológico, asociadas a ciclos agrícolas y festividades, así como su vinculo con la noción de tiempo y espacio histórico (*antes, durante y después*)",4,2°,"Analiza aquellas actividades de los seres humanos que pueden tener un efecto negativo en la naturaleza, planteando la posibilidad de realizar cambios en las actividades individuales, familiares y comunitarias, para promover el cuidado responsable, la preservación de los seres vivos, el agua, el aire y el suelo en su entorno inmediato y lejano."
5,"Los seres humanos son diversos y valiosos, y tienen derechos humanos.",5,2°,"Valora la importancia de pertenecer a una familia, grupo escolar, comunidad y/o pueblo donde niñas y niños sientan cuidado y protección; las manifestaciones socioculturales que considera propias y relevantes de su pueblo y comunidad, así como la relevancia de ejercer sus derechos humanos con un sentido de corresponsabilidad y reciprocidad."
6,"Atención a las necesidades básicas, como parte del ejercicio de los derechos humanos.",6,2°,"Vincula la atención de sus necesidades con el ejercicio de sus derechos humanos, y conoce la responsabilidad de las instituciones e instancias encargadas de protegerlos, así como el derecho de todas las personas a ejercerlos sin distingos de género, edad, pueblo y comunidad, lengua, nacionalidad, religión, discapacidad u otro."
7,"Situaciones de violencia, injusticia o discriminación, que afectan a integrantes de nuestras familias, la escuela o la comunidad.",7,2°,"Dialoga sobre los efectos de la violencia, injusticia y la discriminación hacia personas y grupos por características como edad, identidad de género, orientación sexual, origen cultural o étnico, el idioma que hablan, su origen nacional, características físicas, discapacidad, religión, condición social, económica o migratoria, entre otras."
7,"Situaciones de violencia, injusticia o discriminación, que afectan a integrantes de nuestras familias, la escuela o la comunidad.",7,2°,Propone acciones y establece compromisos para favorecer el respeto a los derechos de todas las personas y los comparte con su familia y la comunidad.
