Contenido #,Contenido,PDA #,Grado,Descripción
1,"Diversos contextos sociales, naturales y territoriales: cambios y continuidades.",1,1°,"Identifica que es parte de un barrio, colonia, vecindad, comunidad, pueblo o localidad, y describe las características y diversidad de su entorno, en términos naturales, sociales y territoriales."
1,"Diversos contextos sociales, naturales y territoriales: cambios y continuidades.",1,1°,Ubica algunos sitios de interés del lugar donde vive y/o donde se encuentra la escuela con referencias básicas y los representa en dibujos y croquis.
1,"Diversos contextos sociales, naturales y territoriales: cambios y continuidades.",1,2°,"Comprende que, tanto de forma individual como colectiva, es parte de un contexto social, natural y territorial que se distingue de otros contextos."
1,"Diversos contextos sociales, naturales y territoriales: cambios y continuidades.",1,2°,"Describe algunos cambios y continuidades de su entorno, y se ubica espacialmente a través de croquis y mapas."
2,"Respeto, cuidado y empatía hacia la naturaleza, como parte de un todo interdependiente.",2,1°,"Describe y reconoce la existencia de otros seres vivos (animales, plantas, hongos y microorganismos), y componentes de la naturaleza (ríos, mares, lagos, distintos suelos, montañas, valles y aire, entre otros) presentes en el lugar donde vive."
2,"Respeto, cuidado y empatía hacia la naturaleza, como parte de un todo interdependiente.",2,1°,"Analiza las formas de interactuar y explora las relaciones de cuidado y afectividad, con otros seres vivos y componentes de la naturaleza, los sentimientos que provocan, la importancia de promover el respeto y la empatía hacia todos los seres vivos y a la naturaleza."
2,"Respeto, cuidado y empatía hacia la naturaleza, como parte de un todo interdependiente.",2,1°,"Comprende cómo las acciones de los seres humanos pueden preservar, modificar o dañar los distintos componentes sociales y naturales del entorno."
2,"Respeto, cuidado y empatía hacia la naturaleza, como parte de un todo interdependiente.",2,2°,"Se reconoce a sí mismo o a sí misma como parte del lugar donde vive y en relación con otros seres vivos (animales, plantas, hongos y microorganismos) y componentes de la naturaleza (cuerpos de agua, suelos, aire, desiertos, bosques, arrecifes e islas, entre otros); y dialoga acerca de los sentimientos que le provoca esa relación."
2,"Respeto, cuidado y empatía hacia la naturaleza, como parte de un todo interdependiente.",2,2°,"Dialoga acerca de las responsabilidades hacia la naturaleza y muestra respeto, cuidado y empatia hacia sus componentes, proponiendo acciones a favor de la naturaleza, en general, y de los seres vivos, en particular en la medida de sus posibilidades."
3,"Impacto de las actividades humanas en la naturaleza y sustentabilidad: actividades humanas que afectan a la naturaleza, y la necesidad de establecer compromisos que contribuyan a la preservación y prevención y disminución del impacto socio ambiental.",3,1°,"Describe las actividades que se realizan de manera cotidiana en su casa, escuela y comunidad, e identifica en cada caso, la relación que dicha actividad guarda con la naturaleza, para reconocer situaciones que la benefician o dañan y así valorar sus acciones."
3,"Impacto de las actividades humanas en la naturaleza y sustentabilidad: actividades humanas que afectan a la naturaleza, y la necesidad de establecer compromisos que contribuyan a la preservación y prevención y disminución del impacto socio ambiental.",3,2°,"Relaciona las actividades humanas con la naturaleza, al identificar aquellas que pueden tener un efecto negativo, planteando la posibilidad de realizar cambios en las actividades y acciones individuales, familiares y comunitarias, para promover el cuidado responsable, la regeneración y la preservación de los seres vivos, el agua, el aire y el suelo en su entorno inmediato y lejano."
4,"Cambios en la naturaleza del lugar donde vive, y su relación con las actividades humanas cotidianas que tienen orden cronológico, asociadas a ciclos agrícolas y festividades, así como su vinculo con la noción de tiempo y espacio histórico (*antes, durante y después*)",4,1°,"Reconoce que existen diferentes formas de nombrar y entender, tanto a las actividades humanas como su orden cronológico y temporal, de acuerdo con el contexto social y cultural."
4,"Cambios en la naturaleza del lugar donde vive, y su relación con las actividades humanas cotidianas que tienen orden cronológico, asociadas a ciclos agrícolas y festividades, así como su vinculo con la noción de tiempo y espacio histórico (*antes, durante y después*)",4,2°,"Identifica cambios en la naturaleza del lugar donde vive, y comprende su relación con las actividades humanas cotidianas, usando nociones como “antes, ahora y después” y en orden cronológico (semanas, meses, años, décadas, estaciones asociadas a ciclos agrícolas y festividades), reconociendo que existen diferentes formas de nombrarlas y entenderlas de acuerdo con el contexto."
4,"Cambios en la naturaleza del lugar donde vive, y su relación con las actividades humanas cotidianas que tienen orden cronológico, asociadas a ciclos agrícolas y festividades, así como su vinculo con la noción de tiempo y espacio histórico (*antes, durante y después*)",4,2°,"Analiza aquellas actividades de los seres humanos que pueden tener un efecto negativo en la naturaleza, planteando la posibilidad de realizar cambios en las actividades individuales, familiares y comunitarias, para promover el cuidado responsable, la preservación de los seres vivos, el agua, el aire y el suelo en su entorno inmediato y lejano."
5,"Los seres humanos son diversos y valiosos, y tienen derechos humanos.",5,1°,"Reconoce que todas las personas son únicas, valiosas y tienen el derecho humano de ser parte de familias, grupos escolares, comunidades y pueblos y que esto es parte de sus derechos humanos."
5,"Los seres humanos son diversos y valiosos, y tienen derechos humanos.",5,1°,"Identifica acciones y reconoce su derecho a ejercer la libertad de manifestar opiniones, ideas, sentimientos, deseos y necesidades, expresiones que considera propias, así como de recibir cuidados por parte de su familia, comunidad y/o pueblos."
5,"Los seres humanos son diversos y valiosos, y tienen derechos humanos.",5,2°,"Valora la importancia de pertenecer a una familia, grupo escolar, comunidad y/o pueblo donde niñas y niños sientan cuidado y protección; las manifestaciones socioculturales que considera propias y relevantes de su pueblo y comunidad, así como la relevancia de ejercer sus derechos humanos con un sentido de corresponsabilidad y reciprocidad."
6,"Atención a las necesidades básicas, como parte del ejercicio de los derechos humanos.",6,1°,"Relaciona la atención de sus necesidades básicas (alimentación, salud, y vivienda, entre otras) que forman parte del ejercicio de sus derechos humanos y comprende la importancia de que todas las personas accedan a ellos y los ejerzan, independientemente del género, edad, pueblo y comunidad, lengua, nacionalidad, religión, discapacidad o cualquier otro origen o condición."
6,"Atención a las necesidades básicas, como parte del ejercicio de los derechos humanos.",6,2°,"Vincula la atención de sus necesidades con el ejercicio de sus derechos humanos, y conoce la responsabilidad de las instituciones e instancias encargadas de protegerlos, así como el derecho de todas las personas a ejercerlos sin distingos de género, edad, pueblo y comunidad, lengua, nacionalidad, religión, discapacidad u otro."
7,"Situaciones de violencia, injusticia o discriminación, que afectan a integrantes de nuestras familias, la escuela o la comunidad.",7,1°,"Reconoce actos de violencia, injusticia, desventaja o discriminación que ocurren en diferentes espacios e instituciones (escuela, unidades médicas, servicios públicos, entre otros), y es sensible a la manera en que ello afecta a las personas, colectivos y comunidades que son excluidos por edad, identidad de género, orientación sexual, origen cultural o étnico, el idioma que hablan, su origen nacional, rasgos físicos, discapacidad, religión, condición social y económica, entre otras características."
7,"Situaciones de violencia, injusticia o discriminación, que afectan a integrantes de nuestras familias, la escuela o la comunidad.",7,2°,"Dialoga sobre los efectos de la violencia, injusticia y la discriminación hacia personas y grupos por características como edad, identidad de género, orientación sexual, origen cultural o étnico, el idioma que hablan, su origen nacional, características físicas, discapacidad, religión, condición social, económica o migratoria, entre otras."
7,"Situaciones de violencia, injusticia o discriminación, que afectan a integrantes de nuestras familias, la escuela o la comunidad.",7,2°,Propone acciones y establece compromisos para favorecer el respeto a los derechos de todas las personas y los comparte con su familia y la comunidad.
8,"Respeto a la dignidad e integridad: límites corporales y situaciones de riesgo para prevenir y denunciar situaciones de acoso, abuso y violencia de carácter sexual en la casa, la escuela, la comunidad y con el uso de internet y redes sociales.",8,1°,"Analiza la importancia del respeto a la dignidad e integridad a partir del cuidado de su cuerpo y reconocer sus límites corporales, diferenciando el contacto físico sano y reconfortante de aquél que nos causa incomodidad y amenaza nuestro bienestar físico o mental, para protección en la familia, en la escuela y la comunidad, considerando también el uso de internet y redes sociales."
8,"Respeto a la dignidad e integridad: límites corporales y situaciones de riesgo para prevenir y denunciar situaciones de acoso, abuso y violencia de carácter sexual en la casa, la escuela, la comunidad y con el uso de internet y redes sociales.",8,1°,Identifica y rechaza situaciones de riesgo y conductas nocivas que afectan la dignidad e integridad de las personas.
8,"Respeto a la dignidad e integridad: límites corporales y situaciones de riesgo para prevenir y denunciar situaciones de acoso, abuso y violencia de carácter sexual en la casa, la escuela, la comunidad y con el uso de internet y redes sociales.",8,2°,"Identifica y expresa su rechazo frente a comportamientos violentos y conductas de acoso o abuso sexual, que amenazan su integridad física y emocional de manera directa o con el uso de internet y redes sociales, y solicita apoyo y protección de integrantes de la familia, la escuela o la comunidad para su acompañamiento y, en caso de ser necesario, su denuncia."
9,"Responsabilidad compartida en el cuidado de sí y el de nuestro entorno con la familia, la escuela, la comunidad, el uso del internet y redes sociales, para generar espacios de bienestar e inclusión, equidad e igualdad.",9,1°,"Identifica y describe las responsabilidades compartidas que tienen estudiantes, adultos, padres y autoridades, así como integrantes de la escuela y comunidad, para el cuidado de sí, articulado a la generación de espacios de bienestar e inclusión, equidad e igualdad y un uso responsable de internet y redes sociales."
9,"Responsabilidad compartida en el cuidado de sí y el de nuestro entorno con la familia, la escuela, la comunidad, el uso del internet y redes sociales, para generar espacios de bienestar e inclusión, equidad e igualdad.",9,2°,"Comprende la importancia de la responsabilidad compartida de los padres, autoridades y los pares, en la escuela y en la comunidad."
9,"Responsabilidad compartida en el cuidado de sí y el de nuestro entorno con la familia, la escuela, la comunidad, el uso del internet y redes sociales, para generar espacios de bienestar e inclusión, equidad e igualdad.",9,2°,"Aporta elementos para el cuidado de sí, articulado a la creación de espacios de bienestar e inclusión, equidad e igualdad y un uso responsable de internet y redes sociales."
10,"Historia personal y familiar, diversidad de familias y el derecho a pertenecer a una.",10,1°,"Indaga en diversas fuentes orales, escritas, digitales, objetos y testimonios, para construir la historia personal y familiar y la representa por medio de dibujos y gráficos como la línea del tiempo; explica similitudes y diferencias con las historias de sus pares, identificando orígenes nacionales o migratorios, étnicos, actividades y trabajos."
10,"Historia personal y familiar, diversidad de familias y el derecho a pertenecer a una.",10,2°,"Valora la diversidad de familias y promueve el respeto entre las y los integrantes de estas, para el cuidado de sí, de su familia y de las familias de su comunidad."
10,"Historia personal y familiar, diversidad de familias y el derecho a pertenecer a una.",10,2°,"Reconoce el derecho de pertenecer a una familia que le cuide, proteja y brinde afecto para su bienestar físico, emocional y afectivo."
11,"Construcción de la paz mediante el diálogo: situaciones de conflicto o discrepancia como parte de la interacción de los seres humanos en la casa, el aula, la escuela y la comunidad.",11,1°,"Analiza situaciones de conflicto como parte de la interacción de los seres humanos, e identifica los que ha enfrentado o ha observado en su casa, el aula, la escuela y la comunidad."
11,"Construcción de la paz mediante el diálogo: situaciones de conflicto o discrepancia como parte de la interacción de los seres humanos en la casa, el aula, la escuela y la comunidad.",11,1°,"Describe e identifica a personas que participan en situaciones de conflicto o discrepancia, y usa el diálogo para evitar trascender a la violencia. Reflexiona acerca de que la paz se construye en colectivo mediante el diálogo."
11,"Construcción de la paz mediante el diálogo: situaciones de conflicto o discrepancia como parte de la interacción de los seres humanos en la casa, el aula, la escuela y la comunidad.",11,2°,"Analiza situaciones de conflicto o discrepancia en su casa, el aula, la escuela y la comunidad; habla de ellas, distingue a las personas participantes y afectadas, así como el motivo del conflicto o discrepancia."
11,"Construcción de la paz mediante el diálogo: situaciones de conflicto o discrepancia como parte de la interacción de los seres humanos en la casa, el aula, la escuela y la comunidad.",11,2°,Comprende y propone formas de solución a través del diálogo y la negociación en la que se beneficien las partes; reflexiona acerca de que al rechazar formas violentas para abordar los conflictos se construye la paz.
12,"Democracia como forma de vida: construcción participativa de normas, reglas y acuerdos para alcanzar metas colectivas y contribuir a una convivencia pacífica en nuestra casa, el aula, la escuela y la comunidad, así como las consecuencias de no respetar los acuerdos, reglas y normas escolares y comunitarias.",12,1°,"Participa en la revisión y construcción de acuerdos y reglas que regulan la convivencia en la familia y el grupo escolar, con la finalidad de atender las necesidades comunes, alcanzar metas colectivas, distribuir las responsabilidades y organizar el tiempo de mejor manera para convivir de forma pacífica."
12,"Democracia como forma de vida: construcción participativa de normas, reglas y acuerdos para alcanzar metas colectivas y contribuir a una convivencia pacífica en nuestra casa, el aula, la escuela y la comunidad, así como las consecuencias de no respetar los acuerdos, reglas y normas escolares y comunitarias.",12,2°,"Participa en la revisión y construcción de acuerdos, reglas y normas que sirven para atender necesidades compartidas, alcanzar metas comunes, resolver conflictos y promover la convivencia pacífica en el aula, la escuela y la comunidad."
12,"Democracia como forma de vida: construcción participativa de normas, reglas y acuerdos para alcanzar metas colectivas y contribuir a una convivencia pacífica en nuestra casa, el aula, la escuela y la comunidad, así como las consecuencias de no respetar los acuerdos, reglas y normas escolares y comunitarias.",12,2°,"Comprende las consecuencias personales y colectivas de no respetar acuerdos, reglas y normas escolares y comunitarias."
