Contenido #,Título
1,La comunidad como el espacio en el que se vive y se encuentra la escuela.
2,"Las familias como espacio de protección, cuidado, afecto y sustento para el desarrollo personal."
3,Entendimiento mutuo en la escuela.
4,"La escuela como espacio de convivencia, colaboración y aprendizaje."
5,"Formas de ser, pensar, actuar y relacionarse."
6,Construcción del proyecto de vida.
7,"Equidad de género en las familias, la escuela y la comunidad."
8,Educación integral en sexualidad.
9,"Efectos en la vida de las personas, derivados de cambios sociales, culturales y en la salud."
10,Reconocimiento de las necesidades y características propias y de las demás personas.
11,"Sentido de pertenencia, identidad personal y social."
12,Capacidades y habilidades motrices.
13,"Posibilidades cognitivas, expresivas, motrices, creativas y de relación."
14,Estilos de vida activos y saludables.
15,"Pensamiento lúdico, estratégico y creativo."
16,Interacción motriz.
17,Hábitos saludables para promover el bienestar en los seres vivos.
18,Higiene para una vida saludable.
19,Situaciones de riesgo social en la comunidad y región donde vive.
20,Los afectos y su influencia en el bienestar.
