Contenido #,Contenido,PDA #,Grado,Descripción
1,La comunidad como el espacio en el que se vive y se encuentra la escuela.,1,3°,"Indaga acerca de ideas, conocimientos, prácticas culturales, formas de organización y acuerdos familiares, escolares y comunitarios, para compartir su importancia en la socialización.."
1,La comunidad como el espacio en el que se vive y se encuentra la escuela.,1,4°,"Reconoce ideas, conocimientos, prácticas culturales y formas de organización, para explicar el significado que tienen en su familia, escuela y comunidad.."
2,"Las familias como espacio de protección, cuidado, afecto y sustento para el desarrollo personal.",2,3°,"Identifica formas de convivencia y socialización en las familias, para distinguir formas de participación y colaboración."
2,"Las familias como espacio de protección, cuidado, afecto y sustento para el desarrollo personal.",2,3°,"Identifica los valores que posee y que han sido heredados de su familia, para fomentar cuidados afectivos.."
2,"Las familias como espacio de protección, cuidado, afecto y sustento para el desarrollo personal.",2,4°,"Reflexiona sobre el valor de la familia y de la aportación de sus integrantes, para favorecer su desarrollo personal y afectivo."
2,"Las familias como espacio de protección, cuidado, afecto y sustento para el desarrollo personal.",2,4°,"Describe los valores que distinguen a su familia, para entenderlos como elementos de desarrollo social y personal.."
3,Entendimiento mutuo en la escuela.,3,3°,"Participa en distintas situaciones para acordar reglas en su familia, escuela y comunidad."
3,Entendimiento mutuo en la escuela.,3,3°,Reflexiona sobre el seguimiento de reglas para expresar las semejanzas y las diferencias.
3,Entendimiento mutuo en la escuela.,3,3°,Expresa la importancia del entendimiento para la convivencia pacífica..
3,Entendimiento mutuo en la escuela.,3,4°,"Comparte ideas y experiencias sobre diferentes temas, para aprender la importancia de escuchar."
3,Entendimiento mutuo en la escuela.,3,4°,"Conoce distintos puntos de vista, para favorecer el entendimiento y la negociación con las demás personas.."
4,"La escuela como espacio de convivencia, colaboración y aprendizaje.",4,3°,"Participa en la organización del aula y en la generación de normas, para el uso y disfrute de los materiales de apoyo y otros recursos existentes en la escuela, como el patio, el jardín y las canchas deportivas, entre otros."
4,"La escuela como espacio de convivencia, colaboración y aprendizaje.",4,3°,"Platica con docentes y compañeras o compañeros sobre la importancia de reconocer situaciones interpersonales, sociales y ambientales problemáticas en su contexto, y sobre la posibilidad de contribuir para el logro de un mayor bienestar personal y colectivo.."
4,"La escuela como espacio de convivencia, colaboración y aprendizaje.",4,4°,"Participa en la toma de decisiones sobre el funcionamiento de la escuela, y la relación escuela-comunidad, para favorecer la colaboración."
4,"La escuela como espacio de convivencia, colaboración y aprendizaje.",4,4°,"Propone alternativas que favorezcan la colaboración entre las personas que integran la escuela y su comunidad para enriquecer sus experiencias, saberes y conocimientos.."
5,"Formas de ser, pensar, actuar y relacionarse.",5,3°,"Reconoce características que le hacen a una persona diferente y a la vez única, para favorecer la construcción de su identidad.."
5,"Formas de ser, pensar, actuar y relacionarse.",5,4°,"Comparte los cambios que afronta en sus capacidades y las formas de ser, pensar, actuar y relacionarse para valorar la manera en que las demás personas inciden en la construcción de su identidad.."
6,Construcción del proyecto de vida.,6,3°,"Reflexiona acerca de logros cotidianos, académicos y emocionales, así como los aspectos que inciden en estos y los retos que tiene, para valorar su nivel de independencia y replantear sus metas."
6,Construcción del proyecto de vida.,6,3°,"Explora las influencias de su familia, comunidad y cultura en la historia personal, para visualizar oportunidades y dificultades a superar en el planteamiento o logro de metas.."
6,Construcción del proyecto de vida.,6,4°,"Reconoce cambios en sus necesidades, intereses y logros, para ajustar metas y diseñar estrategias que permitan cumplirlas."
6,Construcción del proyecto de vida.,6,4°,"Reflexiona acerca de los factores culturales, sociales u otros presentes en la conformación de las ideas, preferencias, necesidades y circunstancias, para determinar aspectos que posibilitan o limitan el desarrollo personal y colectivo.."
7,"Equidad de género en las familias, la escuela y la comunidad.",7,3°,"Analiza prácticas equitativas que favorezcan la convivencia en diversos contextos, como la distribución de las tareas y responsabilidades cotidianas para identificar y proponer mejores formas de relación entre hombres y mujeres.."
7,"Equidad de género en las familias, la escuela y la comunidad.",7,4°,"Reflexiona acerca de los estilos de relación y distribución de responsabilidades, para tomar decisiones respecto de aquellos que inciden positivamente en el bienestar de todas y todos.."
8,Educación integral en sexualidad.,8,3°,"Explora formas de vivir y sentir el cuerpo, así como de los afectos, para identificar la diversidad de expresiones que agradan, incomodan y/o ponen en riesgo la integridad de las personas.."
8,Educación integral en sexualidad.,8,4°,Valora y aprecia las formas de expresar el carácter y los afectos para tomar decisiones orientadas a salvaguardar su integridad..
9,"Efectos en la vida de las personas, derivados de cambios sociales, culturales y en la salud.",9,3°,"Reflexiona sobre hechos y sucesos que han afectado a su familia, para proponer posibles alternativas que permitan afrontarlos.."
9,"Efectos en la vida de las personas, derivados de cambios sociales, culturales y en la salud.",9,4°,"Dialoga acerca de situaciones que conoce o ha vivido en su familia o comunidad, para comprender causas y efectos en la vida de las personas.."
10,Reconocimiento de las necesidades y características propias y de las demás personas.,10,3°,"Valora las características cognitivas, motrices, afectivas y sociales, así como las necesidades de sus compañeras y compañeros para expresar lo que les une como grupo."
10,Reconocimiento de las necesidades y características propias y de las demás personas.,10,3°,Expresa con que personas se identifica para reconocer la identidad del grupo.
10,Reconocimiento de las necesidades y características propias y de las demás personas.,10,3°,Expresa lo que puede hacer para tener la oportunidad de reconocer a otras personas..
10,Reconocimiento de las necesidades y características propias y de las demás personas.,10,4°,Aprecia lo que las personas le aportan en la atención de sus necesidades e intereses para reconocer la importancia del enriquecimiento mutuo.
10,Reconocimiento de las necesidades y características propias y de las demás personas.,10,4°,"Invita a otras personas a participar en una representación dramatizada, sobre la importancia del reconocimiento de todas y todos.."
11,"Sentido de pertenencia, identidad personal y social.",11,3°,"Identifica eventos importantes de la historia de la comunidad: fundación, logros, personas o lugares destacados, entre otros, que son motivos de orgullo compartido, para fortalecer la identidad individual y colectiva."
11,"Sentido de pertenencia, identidad personal y social.",11,3°,"Observa y describe prácticas socioculturales de su entorno; actividades productivas, comerciales, profesionales, de servicios, entre otras, para identificar concepciones, valora y proyectos compartidos por las personas que integran las familias y la comunidad.."
11,"Sentido de pertenencia, identidad personal y social.",11,4°,"Reconstruye la historia de su familia, escuela y comunidad, a partir de narraciones y/o documentos en los que respondan a cuestionamientos como ¿Quiénes somos?, y ¿de dónde vinieron nuestros antepasados?, para descubrir los diversos aportes socioculturales y lingüísticos que puedan ser parte de su identidad."
11,"Sentido de pertenencia, identidad personal y social.",11,4°,"Consulta, por diversos medios físicos y electrónicos, información para entender la articulación de su comunidad local con la región, alcaldía, estado, según se trate de contextos rurales o urbanos.."
12,Capacidades y habilidades motrices.,12,3°,"Adapta sus movimientos, de acuerdo con los elementos básicos de los juegos, para responder a las condiciones que se presentan.."
12,Capacidades y habilidades motrices.,12,4°,"Pone en práctica sus habilidades motrices en situaciones lúdicas, individuales y colectivas, para valorar la diversidad de posibilidades que contribuyen a mejorar su actuación.."
13,"Posibilidades cognitivas, expresivas, motrices, creativas y de relación.",13,3°,"Elabora propuestas de códigos de comunicación por medio del cuerpo, para otorgarle una intención a sus movimientos al jugar e interactuar con las demás personas.."
13,"Posibilidades cognitivas, expresivas, motrices, creativas y de relación.",13,4°,"Reconoce sus capacidades y habilidades motrices, al representar con el cuerpo situaciones e historias a fin de favorecer la construcción de la imagen corporal.."
14,Estilos de vida activos y saludables.,14,3°,"Socializa actividades físicas que practica de manera cotidiana, con la intención de valorar su incidencia en el bienestar y cuidado de la salud.."
14,Estilos de vida activos y saludables.,14,4°,"Organiza juegos y otras actividades físicas, para analizar avances y logros personales o grupales, e favor de asumir una vida saludable.."
15,"Pensamiento lúdico, estratégico y creativo.",15,3°,"Toma decisiones estratégicas a partir de las características de las situaciones de juego y cotidianas, con el fin de solucionarlas asertivamente.."
15,"Pensamiento lúdico, estratégico y creativo.",15,4°,Diseña estrategias para atender situaciones o resolver problemas y conflictos que se presentan en el juego y en actividades cotidianas..
16,Interacción motriz.,16,3°,"Establece acuerdos ante situaciones de juego y cotidianas, a partir de la interacción, para valorar su aplicación y los resultados alcanzados.."
16,Interacción motriz.,16,4°,"Experimenta situaciones caracterizadas por la cooperación y oposición, con el fin de reconocer sus implicaciones en la interacción y el logro de metas.."
17,Hábitos saludables para promover el bienestar en los seres vivos.,17,3°,Distingue alimentos saludables y no saludables para preparar alimentos y promover la alimentación saludable.
17,Hábitos saludables para promover el bienestar en los seres vivos.,17,3°,"Reconoce la importancia de la hidratación en el desarrollo del cuerpo de los seres vivos, para promover hábitos y actitudes saludables y de bienestar en la escuela y la comunidad.."
17,Hábitos saludables para promover el bienestar en los seres vivos.,17,4°,"Analiza las características de una alimentación saludable, para diseñar estrategias que mejoren sus hábitos alimentarios en el contexto escolar."
17,Hábitos saludables para promover el bienestar en los seres vivos.,17,4°,"Realiza prácticas de hidratación saludable para promover prácticas de alimentación, vinculadas con la salud en su escuela y comunidad.."
18,Higiene para una vida saludable.,18,3°,"Reflexiona acerca de distintos hábitos y costumbres de higiene que se realizan en la vida cotidiana en su comunidad, para mejorar prácticas de higiene con sus compañeras y compañeros de clase.."
18,Higiene para una vida saludable.,18,4°,"Comparte experiencias para mejorar la higiene en su escuela y su comunidad, y organiza campañas de higiene en la escuela y la comunidad.."
19,Situaciones de riesgo social en la comunidad y región donde vive.,19,3°,"Distingue situaciones de riesgo social en la región, y propone algunas medidas para el autocuidado."
19,Situaciones de riesgo social en la comunidad y región donde vive.,19,3°,"Analiza situaciones de riesgo social en la comunidad y el contexto donde vive, como la violencia doméstica y el vandalismo, y analiza estrategias de prevención.."
19,Situaciones de riesgo social en la comunidad y región donde vive.,19,4°,Analiza situaciones de riesgo social en la comunidad y región donde vive.
19,Situaciones de riesgo social en la comunidad y región donde vive.,19,4°,"Distingue situaciones de riesgo social en la región, y propone algunas medidas para el autocuidado."
19,Situaciones de riesgo social en la comunidad y región donde vive.,19,4°,"Reconoce que la violencia doméstica y el vandalismo son situaciones que ponen en riesgo la sana convivencia, y analiza estrategias de prevención al respecto."
19,Situaciones de riesgo social en la comunidad y región donde vive.,19,4°,"Organiza compañeras en su grupo y escuela, para prevenir problemas sociales, como la violencia escolar, el vandalismo, las adicciones, entre otros."
19,Situaciones de riesgo social en la comunidad y región donde vive.,19,4°,"Investiga problemas sociales en su contexto y país, para analizar sus causas y efectos.."
20,Los afectos y su influencia en el bienestar.,20,3°,Reconoce los factores presentes en el contexto que influyen en la expresión de las emociones para favorecer reacciones asertivas.
20,Los afectos y su influencia en el bienestar.,20,3°,"Analiza situaciones previas y resultados, obtenidos para adecuar su reacción emocional a favor del bienestar personal y social.."
20,Los afectos y su influencia en el bienestar.,20,4°,Utiliza conocimientos previos sobre las diferentes expresiones emocionales para aprovechar su función en situaciones cotidianas.
20,Los afectos y su influencia en el bienestar.,20,4°,Considera las reacciones emocionales ante situaciones comunes e identifica las más adecuadas para lograr sus metas y el bien común..
