Contenido #,Título
1,"Estructura y funcionamiento del cuerpo humano: sistemas locomotor y digestivo, así como prácticas para su cuidado, desde su contexto sociocultural."
2,Estructura y funcionamiento del cuerpo humano: sistema sexual; cambios en la pubertad e implicaciones socioculturales.
3,"Alimentación saludable, con base en el Plato del Bien Comer, así como prácticas culturales y la toma de decisiones encaminadas a favorecer la salud y el medio ambiente y la economía familiar."
4,"Interacciones entre plantas, animales y el entorno natural: nutrición y locomoción."
5,Relaciones entre los factores físicos y biológicos que conforman los ecosistemas y favorecen la preservación de la vida.
6,Impacto de las actividades humanas en la naturaleza y en la salud.
7,Propiedades de los materiales: masa y longitud; relación entre estados físicos y la temperatura.
8,Formación de mezclas y sus propiedades.
9,Efectos de la aplicación de fuerzas y del calor sobre los objetos.
10,"Sistema tierra-luna-sol: interacciones, cambios y regularidades; diversas explicaciones acerca del movimiento de estos astros y su relación con algunos fenómenos naturales."
11,Estudio de los números.
12,"Suma y resta, su relación como operaciones inversas."
13,"Multiplicación y división, su relación como operaciones inversas."
14,Cuerpos geométricos y sus características.
15,Figuras geométricas y sus características.
16,"Medición de longitud, masa y capacidad."
17,Cálculo de perímetro y área.
18,Medición del tiempo
19,Organización e interpretación de datos.
