Contenido #,Contenido,PDA #,Grado,Descripción
1,"Estructura y funcionamiento del cuerpo humano: sistemas locomotor y digestivo, así como prácticas para su cuidado, desde su contexto sociocultural.",1,3°,"Identifica y describe que el sistema locomotor está conformado por el sistema óseo (huesos y columna vertebral), y el sistema muscular (músculos y articulaciones), y que sus funciones se relacionan con el soporte, protección y movimiento del cuerpo."
1,"Estructura y funcionamiento del cuerpo humano: sistemas locomotor y digestivo, así como prácticas para su cuidado, desde su contexto sociocultural.",1,3°,"Explica y representa el funcionamiento del sistema locomotor, con modelos que muestran la acción coordinada de los sistemas óseo, muscular y nervioso, en el movimiento del cuerpo."
1,"Estructura y funcionamiento del cuerpo humano: sistemas locomotor y digestivo, así como prácticas para su cuidado, desde su contexto sociocultural.",1,3°,"Describe acciones y prácticas socioculturales para el cuidado del sistema locomotor y la prevención de accidentes y lesiones, reconoce la importancia de la postura correcta, de acudir a los servicios de salud y evitar la automedicación.."
2,Estructura y funcionamiento del cuerpo humano: sistema sexual; cambios en la pubertad e implicaciones socioculturales.,2,3°,"Describe semejanzas y diferencias entre los órganos sexuales de las personas, sus nombres correctos y en su lengua materna, e identifica que estos determinan el sexo biológico; propone o practica acciones y hábitos de higiene para su cuidado como parte de la salud sexual."
2,Estructura y funcionamiento del cuerpo humano: sistema sexual; cambios en la pubertad e implicaciones socioculturales.,2,3°,"Comprende que los cuerpos cambian a lo largo del tiempo, al reconocer la variabilidad en tamaño, forma, funciones y características; explica que todas las culturas tienen maneras diferentes de ver los cuerpos y que todos merecen respeto, incluido el de las personas con discapacidad, como parte del derecho a una vida libre de violencia.."
3,"Alimentación saludable, con base en el Plato del Bien Comer, así como prácticas culturales y la toma de decisiones encaminadas a favorecer la salud y el medio ambiente y la economía familiar.",3,3°,"Explica la importancia del consumo de una alimentación higiénica y variada que incluya verduras y frutas; cereales y tubérculos; leguminosas y alimentos de origen animal acorde con el Plato del Bien Comer y sus prácticas culturales, para el buen funcionamiento del cuerpo."
3,"Alimentación saludable, con base en el Plato del Bien Comer, así como prácticas culturales y la toma de decisiones encaminadas a favorecer la salud y el medio ambiente y la economía familiar.",3,3°,"Propone y practica acciones para favorecer una alimentación saludable, como consumir alimentos naturales, de la localidad y de temporada, en la cantidad recomendada para su edad, beber agua simple potable; disminuir el consumo de alimentos con exceso de grasas, azúcares y sal, entre otras."
3,"Alimentación saludable, con base en el Plato del Bien Comer, así como prácticas culturales y la toma de decisiones encaminadas a favorecer la salud y el medio ambiente y la economía familiar.",3,3°,"Comprende que las personas tienen diferentes necesidades alimentarias, de acuerdo con su edad y actividad física, y que satisfacerlas impacta en la economía familiar.."
4,"Interacciones entre plantas, animales y el entorno natural: nutrición y locomoción.",4,3°,"Indaga y escribe la locomoción de animals, a partir de reconocer las formas en las que se mueven y desplazan en la búsqueda de alimento, agua o refugio y su relación con las características del lugar donde viven."
4,"Interacciones entre plantas, animales y el entorno natural: nutrición y locomoción.",4,3°,"Clasifica animals, a partir de sus características y reconoce que los seres humanos pertenecen al grupo de los vertebrados, con base en similitudes y diferencias en la locomoción de otros animales."
