Contenido #,Contenido,PDA #,Grado,Descripción
1,"Representaciones cartográficas de la localidad y/o comunidad; su ubicación dentro de la entidad y del país, con relación al conocimiento, función y cuidados de los ecosistemas como sustento de la vida.",1,4°,"Elabora representaciones cartográficas de la entidad y el territorio nacional, considerando los puntos cardinales."
1,"Representaciones cartográficas de la localidad y/o comunidad; su ubicación dentro de la entidad y del país, con relación al conocimiento, función y cuidados de los ecosistemas como sustento de la vida.",1,4°,"Indaga sobre los cambios en los componentes del ecosistema (suelo, agua, aire y seres vivos, entre otros), por causas físicas o sociales."
1,"Representaciones cartográficas de la localidad y/o comunidad; su ubicación dentro de la entidad y del país, con relación al conocimiento, función y cuidados de los ecosistemas como sustento de la vida.",1,4°,"Comprende que las personas de distintas culturas interactúan de diferente manera con los ecosistemas, distinguiendo las formas de trabajo en que las mujeres y las personas de los pueblos originarios, afrodescendientes y otras culturas de su entidad o país, conviven de manera más armónica con los ecosistemas, protegiéndolos y preservándolos.."
1,"Representaciones cartográficas de la localidad y/o comunidad; su ubicación dentro de la entidad y del país, con relación al conocimiento, función y cuidados de los ecosistemas como sustento de la vida.",1,4°,"Valora la importancia del respeto y colaboración en su cuidado y aprovechamiento sustentable, con equidad y justicia social."
1,"Representaciones cartográficas de la localidad y/o comunidad; su ubicación dentro de la entidad y del país, con relación al conocimiento, función y cuidados de los ecosistemas como sustento de la vida.",1,4°,"Propone acciones para contribuir en la preservación de los ecosistemas, de manera personal y comunitaria, desde el trabajo y en la convivencia cotidiana de la comunidad, el barrio, el pueblo o la ciudad.."
2,"Valoración de los ecosistemas: características del territorio como espacio de vida y las interacciones de la comunidad con los ecosistemas, para su preservación responsable y sustentable.",2,4°,"Representa la visión de su comunidad respecto a su relación con la naturaleza y las tradiciones culturales construidas, a partir de su interacción con los ecosistemas del territorio."
2,"Valoración de los ecosistemas: características del territorio como espacio de vida y las interacciones de la comunidad con los ecosistemas, para su preservación responsable y sustentable.",2,4°,"Analiza críticamente otras formas de interacción de las sociedades con la naturaleza, que afectan los sistemas de vida en su territorio y en su comunidad, reconociendo que la vida humana y la de otros seres vivos depende de que se establezcan el impacto negativo, no sólo en la naturaleza, sino también en la sociedad, tales como el consumos sustentable, el comercio justo o economía solidaria, la agroecología y la protección del patrimonio biocultural."
2,"Valoración de los ecosistemas: características del territorio como espacio de vida y las interacciones de la comunidad con los ecosistemas, para su preservación responsable y sustentable.",2,4°,"Dialoga sobre el derecho humano a un ambiente sano, adecuado para su desarrollo y bienestar y cómo es posible ejecutarlo.."
3,"Interculturalidad y sustentabilidad: formas en las que los pueblos originarios y otras culturales del país se relacionan con la naturaleza para contribuir a reducir el impacto negativo de la humanidad en el medio natural y social, así como acciones colectivas para promover el bienestar con respecto y protección, a fin de preservar la naturaleza y fortalecer la conciencia geográfica.",3,4°,"Indaga y analiza formas diversas en que las mujeres contribuyen en el cuidado y la preservación del ambiente y la salud, así como acciones sociales y políticas que se orientan a recuperar prácticas tradicionales que ayuden a reducir y a transformar el deterioro que ocasiona la cultura capitalista dominante en la naturaleza y la sociedad."
3,"Interculturalidad y sustentabilidad: formas en las que los pueblos originarios y otras culturales del país se relacionan con la naturaleza para contribuir a reducir el impacto negativo de la humanidad en el medio natural y social, así como acciones colectivas para promover el bienestar con respecto y protección, a fin de preservar la naturaleza y fortalecer la conciencia geográfica.",3,4°,"Comprende la importancia de una alimentación saludable y revalora la cultura de la Milpa y el Maíz en México, desarrollando acciones colectivas colaborativas en su escuela, involucrando a la comunidad, para socializar sus beneficios en la alimentación nacional.."
