Contenido #,Contenido,PDA #,Grado,Descripción
1,Narración de sucesos del pasado y del presente.,1,3°,Identifica y comprende la función y las características principales de la narración.
1,Narración de sucesos del pasado y del presente.,1,3°,"Reconoce y usa las estructuras narrativas: lineal, circular, in media res y otras, de acuerdo con su propia cultura y gusto para narrar."
1,Narración de sucesos del pasado y del presente.,1,3°,Identifica y establece relaciones causa-efecto en una narración.
1,Narración de sucesos del pasado y del presente.,1,3°,Usa el punto y el punto y seguido para separar oraciones en un párrafo..
2,"Descripción de personas, lugares, hechos y procesos.",2,3°,"Comprende, a partir de la lectura de textos descriptivos, que hay formas detalladas para describir a las personas y los lugares, señalando características que van más allá de su apariencia."
2,"Descripción de personas, lugares, hechos y procesos.",2,3°,"Reflexiona sobre el uso de palabras y frases para describir personas, lugares y hechos: adjetivos, adverbios y frases adverbiales."
2,"Descripción de personas, lugares, hechos y procesos.",2,3°,"Planea, escribe, revisa y corrige textos en los que describe hechos en orden cronológico."
2,"Descripción de personas, lugares, hechos y procesos.",2,3°,Reflexiona sobre el uso de la coma al enumerar cosas o elementos y la emplea.
2,"Descripción de personas, lugares, hechos y procesos.",2,3°,Usa mayúsculas al inicio de las oraciones y de los nombres propios..
3,Diálogo para la toma de acuerdos y el intercambio de puntos de vista.,3,3°,Comprende textos expositivos que plantean un problema y la solución al mismo.
3,Diálogo para la toma de acuerdos y el intercambio de puntos de vista.,3,3°,"Reconoce y usa pautas que norman los intercambios orales, como respetar el turno para hacer uso de la palabra, prestar atención, adecuar el volumen de voz, emplear fórmulas de cortesía, mantener el interés, plantear preguntas."
3,Diálogo para la toma de acuerdos y el intercambio de puntos de vista.,3,3°,"Escucha las ideas de otras y otros, y expresa las propias con respeto."
3,Diálogo para la toma de acuerdos y el intercambio de puntos de vista.,3,3°,"Reconoce que expresar sus ideas con claridad y acompañadas de las razones que las sustentan, son aspectos que ayudan a que otras personas las comprendan."
3,Diálogo para la toma de acuerdos y el intercambio de puntos de vista.,3,3°,"Participa activamente en diálogos para tomar acuerdos, dando razones de sus preferencias o puntos de vista."
4,"Comprensión y producción de textos expositivos en los que se planteen: problema-solución, comparación contraste, causa consecuencia y enumeración.",4,3°,"Recurre a diversos soportes que contienen textos expositivos, para ampliar sus conocimientos sobre algún tema, así como a diccionarios para consultar definiciones."
4,"Comprensión y producción de textos expositivos en los que se planteen: problema-solución, comparación contraste, causa consecuencia y enumeración.",4,3°,Comprende textos expositivos que plantean un problema y la solución al mismo.
4,"Comprensión y producción de textos expositivos en los que se planteen: problema-solución, comparación contraste, causa consecuencia y enumeración.",4,3°,Reconoce semejanzas y diferencias entre textos de comparación y de contraste.
4,"Comprensión y producción de textos expositivos en los que se planteen: problema-solución, comparación contraste, causa consecuencia y enumeración.",4,3°,"Reconoce antecedentes y consecuentes en el cuerpo de un texto expositivo, del tipo causa consecuencia."
4,"Comprensión y producción de textos expositivos en los que se planteen: problema-solución, comparación contraste, causa consecuencia y enumeración.",4,3°,Se apoya en la enumeración para identificar los principales elementos del tema que trata.
4,"Comprensión y producción de textos expositivos en los que se planteen: problema-solución, comparación contraste, causa consecuencia y enumeración.",4,3°,"Participa en la planeación y escritura de algún texto expositivo, así como en su revisión y corrección, haciendo sugerencias de mejora."
4,"Comprensión y producción de textos expositivos en los que se planteen: problema-solución, comparación contraste, causa consecuencia y enumeración.",4,3°,"Reflexiona sobre palabras y frases que impliquen comparación: algunos , otros , en cambio .."
6,Comprensión y producción de textos discontinuos para organizar actividades y ordenar información.,6,3°,"Identifica características y funciones de los textos discontinuos, en particular de esquemas de partes de seres vivos y objetos, así como de la programación y/o calendarización de actividades."
6,Comprensión y producción de textos discontinuos para organizar actividades y ordenar información.,6,3°,Reflexiona sobre la utilidad de los formatos para organizar actividades e información.
6,Comprensión y producción de textos discontinuos para organizar actividades y ordenar información.,6,3°,Usa mayúsculas al comienzo de nombres propios y oraciones..
7,Comprensión y producción de resúmenes.,7,3°,"Reflexiona sobre las funciones y características del resumen, como un tipo de texto conciso, cuyo objetivo principal es exponer de forma clara, precisa y breve las ideas más importantes de la fuente consultada y no como uno producto de una tarea mecánica, alejada de la comprensión de las ideas expuestas."
7,Comprensión y producción de resúmenes.,7,3°,"Determina cuál considera que es la información más relevante del texto por resumir, en función de sus propósitos, y la registra con sus propias palabras."
7,Comprensión y producción de resúmenes.,7,3°,Establece diferencias entre paráfrasis y síntesis.
7,Comprensión y producción de resúmenes.,7,3°,Emplea el punto y aparte para organizar un texto por párrafos..
8,Comprensión y producción de textos instructivos para realizar actividades escolares y participar en diversos juegos.,8,3°,Identifica y reflexiona sobre la función de los textos instructivos y sus características genéricas: organización de los datos; uso de numerales para ordenar cronológicamente los pasos de un procedimiento; brevedad y secuencia de la información; y precisión en las indicaciones.
8,Comprensión y producción de textos instructivos para realizar actividades escolares y participar en diversos juegos.,8,3°,"Comprende la utilidad de los recursos gráficos empleados en textos instructivos: diagramas de procesos, ilustraciones, cuadros y símbolos."
8,Comprensión y producción de textos instructivos para realizar actividades escolares y participar en diversos juegos.,8,3°,"Identifica y reflexiona respecto del vocabulario empleado en los instructivos: verbos en infinitivo o en imperativo para redactar instrucciones y términos secuenciales, como primero, después, antes de, enseguida, finalmente."
8,Comprensión y producción de textos instructivos para realizar actividades escolares y participar en diversos juegos.,8,3°,"Emplea signos de puntuación, como la coma, el punto y seguido, el punto y aparte, dos puntos.."
9,Exposición sobre temas diversos.,9,3°,"Reconoce características de la oralidad: recursos expresivos (estilo) y paralingüísticos o no lingüísticos, como movimiento corporal y gestos."
9,Exposición sobre temas diversos.,9,3°,"Expone sobre diversos temas considerando: Como presentador o presentadora -Planear su exposición, lo cual incluye la elaboración de materiales de apoyo."
9,Exposición sobre temas diversos.,9,3°,-Realizar apuntes para usar como guía.
9,Exposición sobre temas diversos.,9,3°,-Usar pronombres y nexos..
9,Exposición sobre temas diversos.,9,3°,"-Valorar el interés del auditorio Como audiencia -Escuchar o atender lo que se comunica, siguiendo el hilo de lo que se dice."
9,Exposición sobre temas diversos.,9,3°,-Tomar nota de lo que se quiere recordar..
10,Comunicación a distancia con interlocutores y propósitos diversos.,10,3°,Lee y comenta cartas reales y/o literarias.
10,Comunicación a distancia con interlocutores y propósitos diversos.,10,3°,Identifica características y funciones de las cartas y otros textos epistolares enviados o recibidos por vía postal o electrónica.
10,Comunicación a distancia con interlocutores y propósitos diversos.,10,3°,"Intercambia mensajes epistolares, por vía postal y/o electrónica, con otras personas a partir de propósitos determinados, como saludar, invitar, felicitar, dar recados, informar, entre otros."
10,Comunicación a distancia con interlocutores y propósitos diversos.,10,3°,"Reflexiona, al comunicarse a distancia, sobre la necesidad de proteger sus datos personales y propone medidas para salvaguardar su integridad física y moral.."
11,Análisis e intercambio de comentarios sobre empaques de productos y anuncios publicitarios.,11,3°,Reconoce y reflexiona sobre información que contienen los empaques y otros recursos publicitarios de productos diversos.
11,Análisis e intercambio de comentarios sobre empaques de productos y anuncios publicitarios.,11,3°,Comprende de manera particular la relevancia de leer advertencias en el etiquetado de los productos por consumir y/o adquirir.
11,Análisis e intercambio de comentarios sobre empaques de productos y anuncios publicitarios.,11,3°,"Identifica mensajes, recursos gráficos y audiovisuales utilizados en diversos anuncios publicitarios."
11,Análisis e intercambio de comentarios sobre empaques de productos y anuncios publicitarios.,11,3°,Analiza y comenta mensajes publicitarios para identificar beneficios y perjuicios derivados del consumo de los productos publicitados.
11,Análisis e intercambio de comentarios sobre empaques de productos y anuncios publicitarios.,11,3°,Reflexiona acerca de las ventajas del consumo responsable y de la toma de decisiones con base en la información que se señala en los productos..
12,"Indagación, reelaboración y difusión de notas informativas con opiniones sobre hechos que afectan a la escuela y/o a la comunidad.",12,3°,Interactúa con medios de comunicación y comenta hechos noticiosos o noticias de su interés.
12,"Indagación, reelaboración y difusión de notas informativas con opiniones sobre hechos que afectan a la escuela y/o a la comunidad.",12,3°,"Identifica qué, quién, cómo, cuándo, dónde y por qué en una nota informativa o reporte de noticia."
12,"Indagación, reelaboración y difusión de notas informativas con opiniones sobre hechos que afectan a la escuela y/o a la comunidad.",12,3°,Distingue entre notas informativas sobre noticias y opiniones acerca de las mismas.
12,"Indagación, reelaboración y difusión de notas informativas con opiniones sobre hechos que afectan a la escuela y/o a la comunidad.",12,3°,"Discute y comparte noticias y opiniones sobre éstas a través de medios a su alcance, como periódico mural o boletín escolar.."
13,Uso de textos formales para atender diversos asuntos personales o del bienestar común.,13,3°,"Explora y reconoce características de documentos personales, como acta de nacimiento, credenciales, cartilla de vacunación y comprobantes de estudio."
13,Uso de textos formales para atender diversos asuntos personales o del bienestar común.,13,3°,Reflexiona sobre las funciones que tienen los documentos personales.
13,Uso de textos formales para atender diversos asuntos personales o del bienestar común.,13,3°,Reconoce situaciones en las que los documentos personales son necesarios y/o útiles.
13,Uso de textos formales para atender diversos asuntos personales o del bienestar común.,13,3°,"Comprende la utilidad y el significado de las siglas de las instituciones que expiden los documentos, así como el valor de los sellos y firmas de autorización.."
14,Entrevistas con personas de la comunidad para conocer diversos temas.,14,3°,Reconoce las características de la entrevista y sus propósitos.
14,Entrevistas con personas de la comunidad para conocer diversos temas.,14,3°,"Observa, lee y comenta entrevistas."
14,Entrevistas con personas de la comunidad para conocer diversos temas.,14,3°,"Comprende la utilidad de elaborar cuestionarios para obtener la información que desea, y reconoce la diferencia entre plantear preguntas cerradas y abiertas."
14,Entrevistas con personas de la comunidad para conocer diversos temas.,14,3°,"Entrevista a personas de la comunidad, o externas, con conocimiento sobre el tema y con propósitos y preguntas definidos previamente."
14,Entrevistas con personas de la comunidad para conocer diversos temas.,14,3°,"Respeta turnos para hablar y escuchar, presta atención a la persona entrevistada, adecua tono y volumen de voz, plantea preguntas elaboradas con antelación.."
15,Indagación sobre la diversidad lingüística en su comunidad y el resto del país.,15,3°,"Reconoce nombres de lugares, objetos y otras palabras cotidianas que tienen raíces en lenguas indígenas."
15,Indagación sobre la diversidad lingüística en su comunidad y el resto del país.,15,3°,"Emplea, en forma oral y escrita, expresiones lingüísticas identificadas."
15,Indagación sobre la diversidad lingüística en su comunidad y el resto del país.,15,3°,Identifica expresiones variantes de su lengua materna en comunidades diferentes.
15,Indagación sobre la diversidad lingüística en su comunidad y el resto del país.,15,3°,"Conoce lenguas diferentes a la suya, que se hablan en su localidad y en otras regiones del país.."
16,Uso de croquis y mapas para describir trayectos o localizar lugares.,16,3°,Observa croquis e identifica sus características y función.
16,Uso de croquis y mapas para describir trayectos o localizar lugares.,16,3°,Identifica convenciones gráficas usadas en croquis.
16,Uso de croquis y mapas para describir trayectos o localizar lugares.,16,3°,"Reconoce y usa palabras para dar indicaciones sobre lugares o trayectos, como esquina, derecha, izquierda, al lado, paralelo."
16,Uso de croquis y mapas para describir trayectos o localizar lugares.,16,3°,Elabora croquis para representar trayectos.
16,Uso de croquis y mapas para describir trayectos o localizar lugares.,16,3°,Describe trayectos a partir de la información contenida en croquis..
17,"Reconocimiento y reflexión sobre el uso de elementos de los lenguajes artísticos, en manifestaciones culturales y artísticas de la comunidad y del resto del mundo.",17,3°,"Realiza recreaciones orales o escritas, acompañadas de una representación gráfica, como dibujos, cómics, historietas, secuencias de dibujos que realizan movimientos (“folioscopio” o flip books), a partir de la observación de videos o de la asistencia a lugares en donde se lleven a cabo manifestaciones culturales y artísticas."
17,"Reconocimiento y reflexión sobre el uso de elementos de los lenguajes artísticos, en manifestaciones culturales y artísticas de la comunidad y del resto del mundo.",17,3°,"Compara movimientos, sonidos, formas, colores, gestos y objetos de manifestaciones culturales y artísticas de su comunidad con los de otros lugares."
17,"Reconocimiento y reflexión sobre el uso de elementos de los lenguajes artísticos, en manifestaciones culturales y artísticas de la comunidad y del resto del mundo.",17,3°,"Expresa sus gustos e intereses hacia las manifestaciones culturales y artísticas, y realiza descripciones orales o escritas, para agruparlas de acuerdo con sus similitudes en un collage de dibujos, fotografías o recortes.."
18,Creación de propuestas con intención artística para mejorar la escuela y el resto de la comunidad.,18,3°,"Identifica aspectos por mejorar de la escuela o del resto de la comunidad a partir de gustos e intereses propios, para generar ideas sobre distintas posibilidades de transformación y las representa mediante descripciones, dibujos, bocetos o maquetas."
18,Creación de propuestas con intención artística para mejorar la escuela y el resto de la comunidad.,18,3°,Dialoga sobre las transformaciones que han tenido distintos espacios escolares y del resto de la comunidad a partir de cambios impulsados a través de los lenguajes artísticos.
18,Creación de propuestas con intención artística para mejorar la escuela y el resto de la comunidad.,18,3°,"Explora y emplea movimientos, sonidos, formas, colores, gestos, objetos y palabras, para construir analogías que representen situaciones del espacio escolar o de la localidad."
18,Creación de propuestas con intención artística para mejorar la escuela y el resto de la comunidad.,18,3°,"Crea producciones con distintos lenguajes, oral, escrito, musical, visual, teatral, dancístico, en las que destaque aspectos valiosos de la escuela o la comunidad."
18,Creación de propuestas con intención artística para mejorar la escuela y el resto de la comunidad.,18,3°,"Construye propuestas artísticas de manera colectiva, a partir del uso de formas, colores, texturas, sonidos, movimientos y gestos, que permitan generar una mejora para el bien común."
18,Creación de propuestas con intención artística para mejorar la escuela y el resto de la comunidad.,18,3°,"Identifica aspectos por mejorar de la escuela o del resto de la comunidad a partir de gustos e intereses propios, para generar ideas sobre distintas posibilidades de transformación y las representa mediante descripciones, dibujos, bocetos o maquetas."
18,Creación de propuestas con intención artística para mejorar la escuela y el resto de la comunidad.,18,3°,Dialoga sobre las transformaciones que han tenido distintos espacios escolares y del resto de la comunidad a partir de cambios impulsados a través de los lenguajes artísticos..
18,Creación de propuestas con intención artística para mejorar la escuela y el resto de la comunidad.,18,3°,"Explora y emplea movimientos, sonidos, formas, colores, gestos, objetos y palabras, para construir analogías que representen situaciones del espacio escolar o de la localidad."
18,Creación de propuestas con intención artística para mejorar la escuela y el resto de la comunidad.,18,3°,"Crea producciones con distintos lenguajes, oral, escrito, musical, visual, teatral, dancístico, en las que destaque aspectos valiosos de la escuela o la comunidad."
18,Creación de propuestas con intención artística para mejorar la escuela y el resto de la comunidad.,18,3°,"Construye propuestas artísticas de manera colectiva, a partir del uso de formas, colores, texturas, sonidos, movimientos y gestos, que permitan generar una mejora para el bien común."
19,"Lectura y creación de poemas, canciones y juegos de palabras para su disfrute.",19,3°,"Lee y escucha poemas, canciones y juegos de palabras, de acuerdo con sus gustos e intereses, para propiciar su disfrute."
19,"Lectura y creación de poemas, canciones y juegos de palabras para su disfrute.",19,3°,"Reconoce la rima y la aliteración como elementos rítmicos de poemas, canciones y juegos de palabras."
19,"Lectura y creación de poemas, canciones y juegos de palabras para su disfrute.",19,3°,"Explora y combina sonidos y palabras para jugar con su acomodo y entonación, y modifica las palabras o la letra de una canción, siguiendo el ritmo original.."
20,Experimentación con elementos visuales y sonoros en producciones colectivas artísticas.,20,3°,"Combina secuencias de sonidos rápidos, lentos, agudos, graves, fuertes, débiles, con pausas y acentos, producidos con objetos del entorno, el cuerpo y/o la voz, para transmitir una idea colectiva."
20,Experimentación con elementos visuales y sonoros en producciones colectivas artísticas.,20,3°,"Realiza una composición visual colectiva con objetos a su alcance para representar distinta ideas y formas mediante esculturas efímeras, perfomances o instalaciones."
20,Experimentación con elementos visuales y sonoros en producciones colectivas artísticas.,20,3°,"Elabora un libro de artista o libro objeto, previa selección de textos, en el que experimenta con materiales diversos, como cartón, reciclados, telas, origami; y con el uso de diferentes elementos de los lenguajes artísticos, como puntos, líneas, texturas, formas, colores e imágenes y los comparte con sus pares.."
21,"Reflexión y uso de los lenguajes artísticos, para recrear experiencias estéticas que tienen lugar en la vida cotidiana.",21,3°,"Utiliza elementos de los lenguajes artísticos para representar experiencias significativas de su vida cotidiana; por ejemplo, un paseo familiar, puesta de sol, comida deliciosa."
