Contenido #,Contenido,PDA #,Grado,Descripción
1,Narración de sucesos del pasado y del presente.,1,3°,Identifica y comprende la función y las características principales de la narración.
1,Narración de sucesos del pasado y del presente.,1,3°,"Reconoce y usa las estructuras narrativas: lineal, circular, in media res y otras, de acuerdo con su propia cultura y gusto para narrar."
1,Narración de sucesos del pasado y del presente.,1,3°,Identifica y establece relaciones causa-efecto en una narración.
1,Narración de sucesos del pasado y del presente.,1,3°,Usa el punto y el punto y seguido para separar oraciones en un párrafo..
1,Narración de sucesos del pasado y del presente.,1,4°,"Reconoce y usa diversos estilos, recursos y estrategias narrativas."
1,Narración de sucesos del pasado y del presente.,1,4°,Establece relaciones causales y temporales entre acontecimientos.
1,Narración de sucesos del pasado y del presente.,1,4°,"Reflexiona sobre los tiempos presente, pretérito y copretérito, para narrar sucesos."
1,Narración de sucesos del pasado y del presente.,1,4°,"Infiere el significado de las palabras, a partir de la información contextual de un texto.."
2,"Descripción de personas, lugares, hechos y procesos.",2,3°,"Comprende, a partir de la lectura de textos descriptivos, que hay formas detalladas para describir a las personas y los lugares, señalando características que van más allá de su apariencia."
2,"Descripción de personas, lugares, hechos y procesos.",2,3°,"Reflexiona sobre el uso de palabras y frases para describir personas, lugares y hechos: adjetivos, adverbios y frases adverbiales."
2,"Descripción de personas, lugares, hechos y procesos.",2,3°,"Planea, escribe, revisa y corrige textos en los que describe hechos en orden cronológico."
2,"Descripción de personas, lugares, hechos y procesos.",2,3°,Reflexiona sobre el uso de la coma al enumerar cosas o elementos y la emplea.
2,"Descripción de personas, lugares, hechos y procesos.",2,3°,Usa mayúsculas al inicio de las oraciones y de los nombres propios..
2,"Descripción de personas, lugares, hechos y procesos.",2,4°,"Planea, escribe, revisa y corrige textos donde describe, de manera lógica, procesos con los que tiene cierta familiaridad."
2,"Descripción de personas, lugares, hechos y procesos.",2,4°,Reflexiona sobre el uso de palabras y frases adjetivas y adverbiales para describir procesos.
2,"Descripción de personas, lugares, hechos y procesos.",2,4°,"Utiliza algunos conectores secuenciales, como en primer lugar, posteriormente, finalmente; y temporales, como al mismo tiempo, simultáneamente, más tarde, antes, cuando describe un proceso, a fin de dar claridad al texto."
2,"Descripción de personas, lugares, hechos y procesos.",2,4°,"Revisa y corrige las descripciones que realiza, para transmitir ideas de forma clara, evitando repeticiones innecesarias."
2,"Descripción de personas, lugares, hechos y procesos.",2,4°,"Reconoce el uso del punto y coma y los dos puntos, y los emplea al enumerar diferentes elementos o aspectos.."
3,Diálogo para la toma de acuerdos y el intercambio de puntos de vista.,3,3°,Comprende textos expositivos que plantean un problema y la solución al mismo.
3,Diálogo para la toma de acuerdos y el intercambio de puntos de vista.,3,3°,"Reconoce y usa pautas que norman los intercambios orales, como respetar el turno para hacer uso de la palabra, prestar atención, adecuar el volumen de voz, emplear fórmulas de cortesía, mantener el interés, plantear preguntas."
3,Diálogo para la toma de acuerdos y el intercambio de puntos de vista.,3,3°,"Escucha las ideas de otras y otros, y expresa las propias con respeto."
3,Diálogo para la toma de acuerdos y el intercambio de puntos de vista.,3,3°,"Reconoce que expresar sus ideas con claridad y acompañadas de las razones que las sustentan, son aspectos que ayudan a que otras personas las comprendan."
3,Diálogo para la toma de acuerdos y el intercambio de puntos de vista.,3,3°,"Participa activamente en diálogos para tomar acuerdos, dando razones de sus preferencias o puntos de vista."
3,Diálogo para la toma de acuerdos y el intercambio de puntos de vista.,3,4°,Indica de manera respetuosa cuando no ha comprendido los puntos de vista o ideas de otros.
3,Diálogo para la toma de acuerdos y el intercambio de puntos de vista.,3,4°,"Utiliza información de varias fuentes orales y escritas, para explicar y argumentar sus propias ideas y puntos de vista."
3,Diálogo para la toma de acuerdos y el intercambio de puntos de vista.,3,4°,"Recupera de forma explícita experiencias y conocimientos, para tomar decisiones o asumir una postura."
3,Diálogo para la toma de acuerdos y el intercambio de puntos de vista.,3,4°,"Intercambia información, practica la escucha activa, empatía y/o negociación y toma de acuerdos.."
4,"Comprensión y producción de textos expositivos en los que se planteen: problema-solución, comparación contraste, causa consecuencia y enumeración.",4,3°,"Recurre a diversos soportes que contienen textos expositivos, para ampliar sus conocimientos sobre algún tema, así como a diccionarios para consultar definiciones."
4,"Comprensión y producción de textos expositivos en los que se planteen: problema-solución, comparación contraste, causa consecuencia y enumeración.",4,3°,Comprende textos expositivos que plantean un problema y la solución al mismo.
4,"Comprensión y producción de textos expositivos en los que se planteen: problema-solución, comparación contraste, causa consecuencia y enumeración.",4,3°,Reconoce semejanzas y diferencias entre textos de comparación y de contraste.
4,"Comprensión y producción de textos expositivos en los que se planteen: problema-solución, comparación contraste, causa consecuencia y enumeración.",4,3°,"Reconoce antecedentes y consecuentes en el cuerpo de un texto expositivo, del tipo causa consecuencia."
4,"Comprensión y producción de textos expositivos en los que se planteen: problema-solución, comparación contraste, causa consecuencia y enumeración.",4,3°,Se apoya en la enumeración para identificar los principales elementos del tema que trata.
4,"Comprensión y producción de textos expositivos en los que se planteen: problema-solución, comparación contraste, causa consecuencia y enumeración.",4,3°,"Participa en la planeación y escritura de algún texto expositivo, así como en su revisión y corrección, haciendo sugerencias de mejora."
4,"Comprensión y producción de textos expositivos en los que se planteen: problema-solución, comparación contraste, causa consecuencia y enumeración.",4,3°,"Reflexiona sobre palabras y frases que impliquen comparación: algunos , otros , en cambio .."
4,"Comprensión y producción de textos expositivos en los que se planteen: problema-solución, comparación contraste, causa consecuencia y enumeración.",4,4°,Identifica los efectos de la situación o fenómeno planteados en la información que presenta un texto expositivo.
4,"Comprensión y producción de textos expositivos en los que se planteen: problema-solución, comparación contraste, causa consecuencia y enumeración.",4,4°,"Planea, escribe, revisa y corrige sus propios textos expositivos del tipo: problema-solución, comparación-contraste, causa-consecuencia y enumeración."
4,"Comprensión y producción de textos expositivos en los que se planteen: problema-solución, comparación contraste, causa consecuencia y enumeración.",4,4°,Es capaz de seleccionar fuentes y obtener información para proponer soluciones a problemas de su entorno.
4,"Comprensión y producción de textos expositivos en los que se planteen: problema-solución, comparación contraste, causa consecuencia y enumeración.",4,4°,"Utiliza nexos, adverbios y frases adverbiales de secuencia como luego, más adelante, después, antes, más temprano, así como nexos para establecer comparaciones; en cambio, por un lado, por otro lado, a diferencia de, al igual que.."
5,Búsqueda y manejo reflexivo de información.,5,4°,"Elabora preguntas para localizar la información que requiere y reflexiona sobre el uso de acentos gráficos en palabras que se usan para preguntar: qué, cómo, cuándo, dónde, por qué, para qué.."
6,Comprensión y producción de textos discontinuos para organizar actividades y ordenar información.,6,3°,"Identifica características y funciones de los textos discontinuos, en particular de esquemas de partes de seres vivos y objetos, así como de la programación y/o calendarización de actividades."
6,Comprensión y producción de textos discontinuos para organizar actividades y ordenar información.,6,3°,Reflexiona sobre la utilidad de los formatos para organizar actividades e información.
6,Comprensión y producción de textos discontinuos para organizar actividades y ordenar información.,6,3°,Usa mayúsculas al comienzo de nombres propios y oraciones..
6,Comprensión y producción de textos discontinuos para organizar actividades y ordenar información.,6,4°,"Identifica características y funciones de los textos discontinuos, en particular de líneas del tiempo, tablas de doble entrada y gráficas."
6,Comprensión y producción de textos discontinuos para organizar actividades y ordenar información.,6,4°,"Reflexiona sobre el uso de textos discontinuos, para resumir y ordenar información."
6,Comprensión y producción de textos discontinuos para organizar actividades y ordenar información.,6,4°,Produce textos discontinuos para organizar información que expone a otras personas.
6,Comprensión y producción de textos discontinuos para organizar actividades y ordenar información.,6,4°,Emplea signos de puntuación como el punto y la coma..
7,Comprensión y producción de resúmenes.,7,3°,"Reflexiona sobre las funciones y características del resumen, como un tipo de texto conciso, cuyo objetivo principal es exponer de forma clara, precisa y breve las ideas más importantes de la fuente consultada y no como uno producto de una tarea mecánica, alejada de la comprensión de las ideas expuestas."
7,Comprensión y producción de resúmenes.,7,3°,"Determina cuál considera que es la información más relevante del texto por resumir, en función de sus propósitos, y la registra con sus propias palabras."
7,Comprensión y producción de resúmenes.,7,3°,Establece diferencias entre paráfrasis y síntesis.
7,Comprensión y producción de resúmenes.,7,3°,Emplea el punto y aparte para organizar un texto por párrafos..
8,Comprensión y producción de textos instructivos para realizar actividades escolares y participar en diversos juegos.,8,3°,Identifica y reflexiona sobre la función de los textos instructivos y sus características genéricas: organización de los datos; uso de numerales para ordenar cronológicamente los pasos de un procedimiento; brevedad y secuencia de la información; y precisión en las indicaciones.
8,Comprensión y producción de textos instructivos para realizar actividades escolares y participar en diversos juegos.,8,3°,"Comprende la utilidad de los recursos gráficos empleados en textos instructivos: diagramas de procesos, ilustraciones, cuadros y símbolos."
8,Comprensión y producción de textos instructivos para realizar actividades escolares y participar en diversos juegos.,8,3°,"Identifica y reflexiona respecto del vocabulario empleado en los instructivos: verbos en infinitivo o en imperativo para redactar instrucciones y términos secuenciales, como primero, después, antes de, enseguida, finalmente."
8,Comprensión y producción de textos instructivos para realizar actividades escolares y participar en diversos juegos.,8,3°,"Emplea signos de puntuación, como la coma, el punto y seguido, el punto y aparte, dos puntos.."
8,Comprensión y producción de textos instructivos para realizar actividades escolares y participar en diversos juegos.,8,4°,"Analiza las características de diversos textos instructivos, como reglamentos, recetas médicas y de cocina, indicaciones para participar en un juego de mesa o de patio, e interpreta la información que representan."
8,Comprensión y producción de textos instructivos para realizar actividades escolares y participar en diversos juegos.,8,4°,"Emplea verbos en infinitivo o imperativo, así como términos secuenciales, para escribir instrucciones."
8,Comprensión y producción de textos instructivos para realizar actividades escolares y participar en diversos juegos.,8,4°,Describe el orden secuencias de un procedimiento.
8,Comprensión y producción de textos instructivos para realizar actividades escolares y participar en diversos juegos.,8,4°,Reflexiona sobre la ortografía de palabras homónimas.
8,Comprensión y producción de textos instructivos para realizar actividades escolares y participar en diversos juegos.,8,4°,"Emplea signos de puntuación como el punto, la coma y los dos puntos.."
9,Exposición sobre temas diversos.,9,3°,"Reconoce características de la oralidad: recursos expresivos (estilo) y paralingüísticos o no lingüísticos, como movimiento corporal y gestos."
9,Exposición sobre temas diversos.,9,3°,"Expone sobre diversos temas considerando: Como presentador o presentadora -Planear su exposición, lo cual incluye la elaboración de materiales de apoyo."
9,Exposición sobre temas diversos.,9,3°,-Realizar apuntes para usar como guía.
9,Exposición sobre temas diversos.,9,3°,-Usar pronombres y nexos..
9,Exposición sobre temas diversos.,9,3°,"-Valorar el interés del auditorio Como audiencia -Escuchar o atender lo que se comunica, siguiendo el hilo de lo que se dice."
9,Exposición sobre temas diversos.,9,3°,-Tomar nota de lo que se quiere recordar..
9,Exposición sobre temas diversos.,9,4°,"Expone sobre diversos temas, considerando: Como presentador o presentadora -Planear su exposición, lo cual incluye la elaboración de materiales de apoyo."
9,Exposición sobre temas diversos.,9,4°,-Realizar apuntes para usar como guía.
9,Exposición sobre temas diversos.,9,4°,-Reflexionar sobre el uso de sinónimos y antónimos.
9,Exposición sobre temas diversos.,9,4°,"Mantener el interés del auditorio, ajustando el volumen de voz y usando elementos paralingüísticos."
9,Exposición sobre temas diversos.,9,4°,-Responder dudas y atender inquietudes..
9,Exposición sobre temas diversos.,9,4°,"Como audiencia -Escuchar atenta y compresivamente, tomando notas."
9,Exposición sobre temas diversos.,9,4°,-Plantear preguntas o comentar sobre lo expuesto..
10,Comunicación a distancia con interlocutores y propósitos diversos.,10,3°,Lee y comenta cartas reales y/o literarias.
10,Comunicación a distancia con interlocutores y propósitos diversos.,10,3°,Identifica características y funciones de las cartas y otros textos epistolares enviados o recibidos por vía postal o electrónica.
10,Comunicación a distancia con interlocutores y propósitos diversos.,10,3°,"Intercambia mensajes epistolares, por vía postal y/o electrónica, con otras personas a partir de propósitos determinados, como saludar, invitar, felicitar, dar recados, informar, entre otros."
10,Comunicación a distancia con interlocutores y propósitos diversos.,10,3°,"Reflexiona, al comunicarse a distancia, sobre la necesidad de proteger sus datos personales y propone medidas para salvaguardar su integridad física y moral.."
10,Comunicación a distancia con interlocutores y propósitos diversos.,10,4°,Lee y analiza cartas reales y/o literarias.
10,Comunicación a distancia con interlocutores y propósitos diversos.,10,4°,"Usa convenciones de cartas y otros textos epistolares, como lugar, fecha, destinatario, dirección, en el intercambio postal y/o electrónico de mensajes."
10,Comunicación a distancia con interlocutores y propósitos diversos.,10,4°,"Mantiene comunicación a distancia con interlocutores y propósitos diversos, usando invitaciones, felicitaciones, recados, tarjetas postales y documentos adjuntos."
10,Comunicación a distancia con interlocutores y propósitos diversos.,10,4°,Reflexiona sobre la necesidad de proteger sus datos personales y acuerda medidas y acciones para salvaguardar su integridad física y moral..
11,Análisis e intercambio de comentarios sobre empaques de productos y anuncios publicitarios.,11,3°,Reconoce y reflexiona sobre información que contienen los empaques y otros recursos publicitarios de productos diversos.
11,Análisis e intercambio de comentarios sobre empaques de productos y anuncios publicitarios.,11,3°,Comprende de manera particular la relevancia de leer advertencias en el etiquetado de los productos por consumir y/o adquirir.
11,Análisis e intercambio de comentarios sobre empaques de productos y anuncios publicitarios.,11,3°,"Identifica mensajes, recursos gráficos y audiovisuales utilizados en diversos anuncios publicitarios."
11,Análisis e intercambio de comentarios sobre empaques de productos y anuncios publicitarios.,11,3°,Analiza y comenta mensajes publicitarios para identificar beneficios y perjuicios derivados del consumo de los productos publicitados.
11,Análisis e intercambio de comentarios sobre empaques de productos y anuncios publicitarios.,11,3°,Reflexiona acerca de las ventajas del consumo responsable y de la toma de decisiones con base en la información que se señala en los productos..
11,Análisis e intercambio de comentarios sobre empaques de productos y anuncios publicitarios.,11,4°,"Comprende advertencias e instrucciones incluidas en empaques y etiquetas de productos, así como la finalidad de sus anuncios publicitarios."
11,Análisis e intercambio de comentarios sobre empaques de productos y anuncios publicitarios.,11,4°,"Identifica emisor, receptor y propósito de anuncios publicitarios difundidos en diferentes medios y reflexiona sobre su veracidad, Reflexiona y comenta sobre la función persuasiva del lenguajes publicitario y el desarrollo del pensamiento crítico ante la publicidad.."
12,"Indagación, reelaboración y difusión de notas informativas con opiniones sobre hechos que afectan a la escuela y/o a la comunidad.",12,3°,Interactúa con medios de comunicación y comenta hechos noticiosos o noticias de su interés.
12,"Indagación, reelaboración y difusión de notas informativas con opiniones sobre hechos que afectan a la escuela y/o a la comunidad.",12,3°,"Identifica qué, quién, cómo, cuándo, dónde y por qué en una nota informativa o reporte de noticia."
12,"Indagación, reelaboración y difusión de notas informativas con opiniones sobre hechos que afectan a la escuela y/o a la comunidad.",12,3°,Distingue entre notas informativas sobre noticias y opiniones acerca de las mismas.
12,"Indagación, reelaboración y difusión de notas informativas con opiniones sobre hechos que afectan a la escuela y/o a la comunidad.",12,3°,"Discute y comparte noticias y opiniones sobre éstas a través de medios a su alcance, como periódico mural o boletín escolar.."
12,"Indagación, reelaboración y difusión de notas informativas con opiniones sobre hechos que afectan a la escuela y/o a la comunidad.",12,4°,Conoce hechos noticiosos o noticias por medio de noticieros de radio y/o televisión.
12,"Indagación, reelaboración y difusión de notas informativas con opiniones sobre hechos que afectan a la escuela y/o a la comunidad.",12,4°,Compara cómo se presenta una misma noticia en distintos medios de comunicación e identifica diferencias y semejanzas en su tratamiento.
12,"Indagación, reelaboración y difusión de notas informativas con opiniones sobre hechos que afectan a la escuela y/o a la comunidad.",12,4°,Comenta y comparte sus impresiones sobre diferencias y semejanzas identificadas en el mismo tratamiento de una noticia..
13,Uso de textos formales para atender diversos asuntos personales o del bienestar común.,13,3°,"Explora y reconoce características de documentos personales, como acta de nacimiento, credenciales, cartilla de vacunación y comprobantes de estudio."
13,Uso de textos formales para atender diversos asuntos personales o del bienestar común.,13,3°,Reflexiona sobre las funciones que tienen los documentos personales.
13,Uso de textos formales para atender diversos asuntos personales o del bienestar común.,13,3°,Reconoce situaciones en las que los documentos personales son necesarios y/o útiles.
13,Uso de textos formales para atender diversos asuntos personales o del bienestar común.,13,3°,"Comprende la utilidad y el significado de las siglas de las instituciones que expiden los documentos, así como el valor de los sellos y firmas de autorización.."
