Contenido #,Título
1,Narración de sucesos autobiográficos.
2,Comprensión y producción de textos explicativos.
3,Participación y producción de textos explicativos.
4,Comprensión y producción de textos argumentativos.
5,"Comprensión y producción de textos informativos, para ampliar sus conocimientos sobre temas de interés tanto colectivo como individual."
6,"Comprensión y producción de textos discontinuos, para organizar y presentar información."
7,Elaboración e intercambio de reseñas de diversos textos y/o audiovisuales.
8,Comparación y producción de documentos que regulan la convivencia.
9,Exposición sobre temas relacionados con el cuidado de la salud.
10,Producción y envío de cartas personales.
11,Interpretación y producción de anuncios publicitarios de productos o servicios ofrecidos en la comunidad.
12,Seguimiento crítico de noticias en diferentes medios de comunicación escrita.
13,Comprensión y producción de textos para gestionar servicios públicos.
14,Elaboración de un triptico informativo sobre la prevención de algún problema colectivo.
15,Reconocimiento de la diversidad lingüística de México.
16,Interpretación y valoración de manifestaciones culturales y artísticas de México y del mundo.
17,Apropiación e intervención artística en el espacio comunitario.
18,Análisis de cuentos y poemas para su disfrute y comprensión.
19,"Combinación de elementos visuales, sonoros y corporales, en composiciones artísticas colectivas, para expresar rasgos de sus identidades personal y colectiva."
20,"Expresión, mediante el uso de los lenguajes artísticos, de experiencias estéticas que tienen lugar en la naturaleza."
21,"Creación y representación de narrativas a partir de acontecimientos relevantes de la comunidad, empleando recursos literarios, visuales, corporales y sonoros."
22,"Combinación de la realidad y la ficción en elementos simbólicos de las manifestaciones culturales y artísticas, que dan identidad y sentido de pertenencia."
23,Análisis y representación de guiones teatrales.
24,"Lectura y análisis de mitos y leyendas, para su disfrute y valoración."
