Contenido #,Contenido,PDA #,Grado,Descripción
1,Narración de sucesos autobiográficos.,1,6°,"Lee textos autobiográficos e identifica las relaciones temporales de secuencia, simultaneidad y duración."
1,Narración de sucesos autobiográficos.,1,6°,Analiza distintos sucesos de su vida para elegir los más significativos y organizarlos de manera coherente en una narración.
1,Narración de sucesos autobiográficos.,1,6°,"Determina al destinatario y la forma en que desea narrar sucesos autobiográficos significativos, para causar efectos particulares.."
1,Narración de sucesos autobiográficos.,1,6°,"Usa reflexivamente adverbios, frases adverbiales y nexos temporales, para indicar secuencia, simultaneidad y duración en los sucesos narrados."
1,Narración de sucesos autobiográficos.,1,6°,Colabora en la edición de un libro de textos autobiográficos y sugiere formas de reproducirlo para que cada alumna y alumno tenga el suyo..
2,Comprensión y producción de textos explicativos.,2,6°,Localiza y lee textos explicativos de temas variados.
2,Comprensión y producción de textos explicativos.,2,6°,Expresa con sus palabras las ideas que comprende de los textos que lee y elabora resúmenes que le permitan reconstruir las ideas principales y los elementos de los textos explicativos..
2,Comprensión y producción de textos explicativos.,2,6°,Reconoce y emplea relaciones de causa-consecuencia.
2,Comprensión y producción de textos explicativos.,2,6°,"Emplea palabras como primero, finalmente, luego, después, posteriormente, durante, para organizar las oraciones."
2,Comprensión y producción de textos explicativos.,2,6°,Utiliza palabras nuevas y/o técnicas en el texto explicativo que produce para compartir..
3,Participación y producción de textos explicativos.,3,6°,"Prepara su participación en un debate y formula los argumentos por presentar, cuidando que la exposición del tema por discutir resulte coherente y suficiente, los argumentos claros, pertinentes y fundamentados, y se expliciten las referencias bibliográficas y citas textuales que dan soporte a la información que se comparte.."
3,Participación y producción de textos explicativos.,3,6°,"Identifica la función de los conectivos causales, temporales y lógicos en textos argumentativos."
3,Participación y producción de textos explicativos.,3,6°,"Escuchar y opina de manera crítica durante su desarrollo como participante, moderador, moderadora o público en un debate.."
4,Comprensión y producción de textos argumentativos.,4,6°,"Lee textos sobre temas polémicos, e identifica los argumentos que sustentan cada postura."
4,Comprensión y producción de textos argumentativos.,4,6°,Registra los principales argumentos y las conclusiones de las autoras y los autores de los textos leídos..
4,Comprensión y producción de textos argumentativos.,4,6°,Reflexiona sobre la relación entre los argumentos principales y las conclusiones.
4,Comprensión y producción de textos argumentativos.,4,6°,"Escribe un texto, a partir de las ideas que registró, en el que expresa sus propias opiniones sobre los temas tratados, y en el que emplea nexos que anteceden los argumentos, como porque, ya que, si bien, en consecuencia.."
5,"Comprensión y producción de textos informativos, para ampliar sus conocimientos sobre temas de interés tanto colectivo como individual.",5,6°,Lee textos informativos y reflexiona sobre su organización.
5,"Comprensión y producción de textos informativos, para ampliar sus conocimientos sobre temas de interés tanto colectivo como individual.",5,6°,"Identifica información especifica sobre asuntos de su interés, y comprende el tema central.."
5,"Comprensión y producción de textos informativos, para ampliar sus conocimientos sobre temas de interés tanto colectivo como individual.",5,6°,"Escribe textos informativos en los que registra, de manera convencional, los datos de las fuentes consultadas: autor, título, editorial, fecha y lugar de publicación, páginas consultadas, etcétera.."
6,"Comprensión y producción de textos discontinuos, para organizar y presentar información.",6,6°,"Reconoce, mediante el análisis, las características y funciones de los textos discontinuos, en particular de gráficas, cuadros sinópticos y mapas conceptuales."
6,"Comprensión y producción de textos discontinuos, para organizar y presentar información.",6,6°,Reflexiona sobre las posibilidades de los textos discontinuos para organizar la información que expone a otras personas..
6,"Comprensión y producción de textos discontinuos, para organizar y presentar información.",6,6°,"Sintetiza información, sin perder el significado original, para organizarla y presentarla por medio de textos discontinuos."
6,"Comprensión y producción de textos discontinuos, para organizar y presentar información.",6,6°,"Produce textos discontinuos, considerando al destinatario y empleando elementos gráficos útiles para organizar y presentar información, como tipografía, viñetas, espacios de la página, interlineado, signos de puntuación, mayúsculas y minúsculas.."
