Contenido #,Contenido,PDA #,Grado,Descripción
1,Narración de sucesos autobiográficos.,1,5°,Lee textos autobiográficos y reflexiona sobre las razones por las que suelen estar narrados en primera persona del singular.
1,Narración de sucesos autobiográficos.,1,5°,"Determina los sucesos autobiográficos que desea narrar y los organiza lógicamente, resaltando los aspectos más significativos."
1,Narración de sucesos autobiográficos.,1,5°,"Escribe narración de los hechos autobiográficos haciendo uso de comas, puntos y seguido, puntos y aparte y dos puntos, para dar claridad y orden de ideas.."
1,Narración de sucesos autobiográficos.,1,5°,"Describe personas, lugares y hechos a través del uso de reiteraciones, frases adjetivas, símiles e imágenes, y mantiene la referencia a los mismos en toda narración por medio de pronombres y sinónimos."
1,Narración de sucesos autobiográficos.,1,5°,"Hace y recibe sugerencias sobre aspectos de mejora, y comparte con la comunidad educativa las versiones finales.."
1,Narración de sucesos autobiográficos.,1,6°,"Lee textos autobiográficos e identifica las relaciones temporales de secuencia, simultaneidad y duración."
1,Narración de sucesos autobiográficos.,1,6°,Analiza distintos sucesos de su vida para elegir los más significativos y organizarlos de manera coherente en una narración.
1,Narración de sucesos autobiográficos.,1,6°,"Determina al destinatario y la forma en que desea narrar sucesos autobiográficos significativos, para causar efectos particulares.."
1,Narración de sucesos autobiográficos.,1,6°,"Usa reflexivamente adverbios, frases adverbiales y nexos temporales, para indicar secuencia, simultaneidad y duración en los sucesos narrados."
1,Narración de sucesos autobiográficos.,1,6°,Colabora en la edición de un libro de textos autobiográficos y sugiere formas de reproducirlo para que cada alumna y alumno tenga el suyo..
2,Comprensión y producción de textos explicativos.,2,5°,Lee distintos tipos de textos explicativos y reflexiona sobre sus características y funciones.
2,Comprensión y producción de textos explicativos.,2,5°,"Expone las diferencias entre una descripción y una explicación, y entre un texto descriptivo y uno explicativo."
2,Comprensión y producción de textos explicativos.,2,5°,"Recupera información de distintas fuentes, como artículos de divulgación, libros de texto, reportes de investigación, para producir un texto explicativo sobre temas diversos y con propósitos particulares.."
2,Comprensión y producción de textos explicativos.,2,5°,"Establece relaciones causales y emplea expresiones como en consecuencia, por lo tanto, debido a, a causa de, porque, por consiguiente."
2,Comprensión y producción de textos explicativos.,2,5°,"Distingue sus propias palabras de la paráfrasis y citas textuales, y registra la información bibliográfica de las fuentes consultadas: autor, título, editorial, lugar y fecha de publicación, páginas consultadas, etcétera.."
2,Comprensión y producción de textos explicativos.,2,6°,Localiza y lee textos explicativos de temas variados.
2,Comprensión y producción de textos explicativos.,2,6°,Expresa con sus palabras las ideas que comprende de los textos que lee y elabora resúmenes que le permitan reconstruir las ideas principales y los elementos de los textos explicativos..
2,Comprensión y producción de textos explicativos.,2,6°,Reconoce y emplea relaciones de causa-consecuencia.
2,Comprensión y producción de textos explicativos.,2,6°,"Emplea palabras como primero, finalmente, luego, después, posteriormente, durante, para organizar las oraciones."
2,Comprensión y producción de textos explicativos.,2,6°,Utiliza palabras nuevas y/o técnicas en el texto explicativo que produce para compartir..
3,Participación y producción de textos explicativos.,3,5°,"Reconoce que hay temas donde las opiniones se dividen, y es necesario sustentar las propias."
3,Participación y producción de textos explicativos.,3,5°,Conoce la función y organización de un debate.
3,Participación y producción de textos explicativos.,3,5°,"Investiga y toma notas de las ideas centrales y otros datos significativos con relación al tema del debate, con la intención de construir sus argumentos.."
3,Participación y producción de textos explicativos.,3,5°,Identifica la función de los nexos de subordinación en textos argumentativos.
3,Participación y producción de textos explicativos.,3,5°,"Hace su presentación, opina sobre lo que dicen otros y otras participantes y reconocen que es posible cambiar de opinión, a partir de las opiniones argumentadas de las demás personas.."
3,Participación y producción de textos explicativos.,3,6°,"Prepara su participación en un debate y formula los argumentos por presentar, cuidando que la exposición del tema por discutir resulte coherente y suficiente, los argumentos claros, pertinentes y fundamentados, y se expliciten las referencias bibliográficas y citas textuales que dan soporte a la información que se comparte.."
3,Participación y producción de textos explicativos.,3,6°,"Identifica la función de los conectivos causales, temporales y lógicos en textos argumentativos."
3,Participación y producción de textos explicativos.,3,6°,"Escuchar y opina de manera crítica durante su desarrollo como participante, moderador, moderadora o público en un debate.."
4,Comprensión y producción de textos argumentativos.,4,5°,"Lee textos sobre temas polémicos, y distingue las opiniones de los datos y hechos concretos."
4,Comprensión y producción de textos argumentativos.,4,5°,"Compara distintas formas de construir y expresar argumentos, siempre en un marco de respeto."
4,Comprensión y producción de textos argumentativos.,4,5°,"Expresa sus opiniones oralmente, basado en argumentos, sobre textos que incluyen temas polémicos.."
4,Comprensión y producción de textos argumentativos.,4,6°,"Lee textos sobre temas polémicos, e identifica los argumentos que sustentan cada postura."
4,Comprensión y producción de textos argumentativos.,4,6°,Registra los principales argumentos y las conclusiones de las autoras y los autores de los textos leídos..
4,Comprensión y producción de textos argumentativos.,4,6°,Reflexiona sobre la relación entre los argumentos principales y las conclusiones.
4,Comprensión y producción de textos argumentativos.,4,6°,"Escribe un texto, a partir de las ideas que registró, en el que expresa sus propias opiniones sobre los temas tratados, y en el que emplea nexos que anteceden los argumentos, como porque, ya que, si bien, en consecuencia.."
5,"Comprensión y producción de textos informativos, para ampliar sus conocimientos sobre temas de interés tanto colectivo como individual.",5,5°,Selecciona y lee textos informativos sobre temas de su interés.
5,"Comprensión y producción de textos informativos, para ampliar sus conocimientos sobre temas de interés tanto colectivo como individual.",5,5°,"Formula preguntas para guiar la búsqueda de información específica, para lo cual usa los signos de interrogación."
5,"Comprensión y producción de textos informativos, para ampliar sus conocimientos sobre temas de interés tanto colectivo como individual.",5,5°,Reconoce el tema central de los textos leídos..
5,"Comprensión y producción de textos informativos, para ampliar sus conocimientos sobre temas de interés tanto colectivo como individual.",5,5°,"Escribe textos informativos, empleando signos de puntuación: coma, dos puntos, punto y seguido, y punto y aparte, para organizar las ideas dentro de los párrafos.."
5,"Comprensión y producción de textos informativos, para ampliar sus conocimientos sobre temas de interés tanto colectivo como individual.",5,6°,Lee textos informativos y reflexiona sobre su organización.
5,"Comprensión y producción de textos informativos, para ampliar sus conocimientos sobre temas de interés tanto colectivo como individual.",5,6°,"Identifica información especifica sobre asuntos de su interés, y comprende el tema central.."
5,"Comprensión y producción de textos informativos, para ampliar sus conocimientos sobre temas de interés tanto colectivo como individual.",5,6°,"Escribe textos informativos en los que registra, de manera convencional, los datos de las fuentes consultadas: autor, título, editorial, fecha y lugar de publicación, páginas consultadas, etcétera.."
6,"Comprensión y producción de textos discontinuos, para organizar y presentar información.",6,5°,"Reconoce, mediante el análisis, las características y funciones de los textos discontinuos, en particular de tablas de doble entrada, líneas del tiempo y cuadros cronológicos."
6,"Comprensión y producción de textos discontinuos, para organizar y presentar información.",6,5°,Reflexiona sobre la utilidad de los textos discontinuos para organizar y presentar información..
6,"Comprensión y producción de textos discontinuos, para organizar y presentar información.",6,5°,Selecciona información para organizarla y presentarla por medio de textos discontinuos.
6,"Comprensión y producción de textos discontinuos, para organizar y presentar información.",6,5°,"Produce textos discontinuos, considerando al destinatario y tomando en cuenta aspectos gráficos como el tamaño de la letra empleada, a fin de garantizar su legibilidad.."
6,"Comprensión y producción de textos discontinuos, para organizar y presentar información.",6,6°,"Reconoce, mediante el análisis, las características y funciones de los textos discontinuos, en particular de gráficas, cuadros sinópticos y mapas conceptuales."
6,"Comprensión y producción de textos discontinuos, para organizar y presentar información.",6,6°,Reflexiona sobre las posibilidades de los textos discontinuos para organizar la información que expone a otras personas..
6,"Comprensión y producción de textos discontinuos, para organizar y presentar información.",6,6°,"Sintetiza información, sin perder el significado original, para organizarla y presentarla por medio de textos discontinuos."
6,"Comprensión y producción de textos discontinuos, para organizar y presentar información.",6,6°,"Produce textos discontinuos, considerando al destinatario y empleando elementos gráficos útiles para organizar y presentar información, como tipografía, viñetas, espacios de la página, interlineado, signos de puntuación, mayúsculas y minúsculas.."
7,Elaboración e intercambio de reseñas de diversos textos y/o audiovisuales.,7,5°,Reconoce las características y función de las reseñas.
7,Elaboración e intercambio de reseñas de diversos textos y/o audiovisuales.,7,5°,"Describe un texto leído y construye una opinión acerca del mismo, explicando su parecer."
7,Elaboración e intercambio de reseñas de diversos textos y/o audiovisuales.,7,5°,"Usa expresiones como creo que, en mi opinión, pienso que, de acuerdo con, desde mi punto de vista, considero que, para organizar y compartir su opinión.."
7,Elaboración e intercambio de reseñas de diversos textos y/o audiovisuales.,7,5°,"Registra datos de identificación del texto título, autor, editorial y lugar y fecha de publicación, número de páginas."
7,Elaboración e intercambio de reseñas de diversos textos y/o audiovisuales.,7,5°,Revisa y corrige reiteraciones innecesarias en la escritura de la reseña: errores de concordancia y de ortografía en general..
7,Elaboración e intercambio de reseñas de diversos textos y/o audiovisuales.,7,6°,Explica la utilidad de las reseñas y comenta sus características.
7,Elaboración e intercambio de reseñas de diversos textos y/o audiovisuales.,7,6°,"Describe el material audiovisual consultado y registra los datos de identificación de este: título, tema, director, protagonistas, institución o empresa productora, fecha de realización, etcétera."
7,Elaboración e intercambio de reseñas de diversos textos y/o audiovisuales.,7,6°,Elabora una opinión sustentada acerca de un material reseñado..
7,Elaboración e intercambio de reseñas de diversos textos y/o audiovisuales.,7,6°,"Usa conectores como porque, ya que, puesto que, por, debido a, etcétera, con los que apoya la argumentación de sus opiniones."
7,Elaboración e intercambio de reseñas de diversos textos y/o audiovisuales.,7,6°,"Revisa y corrige reiteraciones innecesarias, y errores de concordancia y ortografía en general.."
8,Comparación y producción de documentos que regulan la convivencia.,8,5°,"Analiza varios reglamentos escolares, e identifica características como brevedad o concisión y uso de verbos y numerales."
8,Comparación y producción de documentos que regulan la convivencia.,8,5°,Comprende y explica la función de los reglamentos.
8,Comparación y producción de documentos que regulan la convivencia.,8,5°,Participa en la elaboración del reglamento del aula.
8,Comparación y producción de documentos que regulan la convivencia.,8,5°,Revisa y corrige errores de concordancia y ortografía en el texto..
8,Comparación y producción de documentos que regulan la convivencia.,8,6°,Reconoce la función e importancia de cumplir las pautas o normas establecidas en reglamentos para regular la convivencia.
8,Comparación y producción de documentos que regulan la convivencia.,8,6°,"Reflexiona y comprende la concisión de las reglas, el empleo de verbos (modo y tiempo) y el uso de numerales."
8,Comparación y producción de documentos que regulan la convivencia.,8,6°,"Escribe las reglas para lograr una convivencia respetuosa, incluyente, equitativa e igualitaria en la escuela, tomando en consideración sus experiencias a lo largo de la primaria.."
8,Comparación y producción de documentos que regulan la convivencia.,8,6°,"Utiliza oraciones breves y decide si debe emplear subtítulos, viñetas o incisos.."
9,Exposición sobre temas relacionados con el cuidado de la salud.,9,5°,Como presentador o presentadora.
9,Exposición sobre temas relacionados con el cuidado de la salud.,9,5°,"Recupera e integra información de diversas fuentes, gráficas, orales y/o escritas, para preparar su presentación."
9,Exposición sobre temas relacionados con el cuidado de la salud.,9,5°,"Escribe palabras clave y/o notas breves para usarlas como guía y exponer de manera lógica y secuenciada, empleando un léxico formal.."
9,Exposición sobre temas relacionados con el cuidado de la salud.,9,5°,"Elabora cuadros sinópticos, esquemas, tablas de doble entrada u otros recursos gráficos, como material de apoyo para la exposición."
9,Exposición sobre temas relacionados con el cuidado de la salud.,9,5°,"Conserva la atención de las espectadoras y los espectadores, resuelve dudas y hace comentarios acerca de lo que le plantean.."
9,Exposición sobre temas relacionados con el cuidado de la salud.,9,5°,"Como audiencia Mantiene la atención en lo que presenta la expositora o el expositor, toma notas sobre lo que le parece más relevante, le causa duda o quiere comentar, y pide y hace uso de la palabra para plantear preguntas, hacer comentarios o compartir su opinión.."
9,Exposición sobre temas relacionados con el cuidado de la salud.,9,6°,"Como presentador o presentadora Elabora un guion para presentar de manera ordenada la información que investigó en diversas fuentes, gráficas, orales y/o escritas, y usó para construir su exposición."
9,Exposición sobre temas relacionados con el cuidado de la salud.,9,6°,Prepara diversos materiales de apoyo para enriquecer su presentación..
