Contenido #,Contenido,PDA #,Grado,Descripción
1,"Las familias como espacio para el desarrollo del sentido de pertenencia y autonomía, para una sana convivencia.",1,5°,"Participa en distintas formas de convivencia en la familia, para fortalecer su sentido de pertenencia y afecto."
1,"Las familias como espacio para el desarrollo del sentido de pertenencia y autonomía, para una sana convivencia.",1,5°,"Reflexiona acerca de los valores heredades de la familia, para el desarrollo de una sana convivencia en la escuela y la comunidad."
2,Alternativas ante conflictos y problemas de la vida en la comunidad.,2,5°,"Reflexiona sobre los conflictos que tiene en la familia, para valorar las posibles alternativas de solución."
2,Alternativas ante conflictos y problemas de la vida en la comunidad.,2,5°,"Valora la pertinencia del diálogo, para solucionar los conflictos interpersonales.."
3,La escuela como ventana hacia el futuro.,3,5°,"Intercambia experiencias de estudio, para visualizar las opciones que tiene en su futuro."
3,La escuela como ventana hacia el futuro.,3,5°,"Reflexiona sobre sus preferencias, para imaginar sus proyectos de vida.."
4,"La comunidad, como espacio para el aprendizaje y el bienestar común.",4,5°,"Argumenta la pertinencia y vigencia de las ideas, conocimientos y prácticas culturales de su comunidad, para valorar sus beneficios en el bienestar común."
4,"La comunidad, como espacio para el aprendizaje y el bienestar común.",4,5°,"Experimenta diferentes tipos de organización, medios, recursos y procesos, para contribuir en el desarrollo sustentable de su comunidad.."
5,"Formas de ser, pensar, actuar y relacionarse.",5,5°,"Reflexiona acerca de las formas de ser, pensar, actuar y relacionarse que tienen las personas y los factores que originan para propiciar el entendimiento mutuo.."
6,Construcción del proyecto de vida.,6,5°,"Replantea las formas de satisfacer las necesidades e intereses, para promover la autodeterminación orientada al cumplimiento de metas."
6,Construcción del proyecto de vida.,6,5°,"Analiza los intereses individuales y aquellos que comparte, para identificar situaciones en las que se requiere pedir apoyo y en las que se pueden acordar propuestas conjuntas.."
7,Educación integral en Sexualidad.,7,5°,"Intercambia experiencias acerca de sensaciones de placer o displacer que se presentan en la interacción, para argumentar las causas, prever situaciones de riesgo y realizar prácticas seguras.."
8,Equidad de género.,8,5°,"Reflexiona sobre situaciones asociadas con la diversidad de identidades y género, para proponer acciones en contra de la discriminación.."
9,"Capacidades, habilidades y destrezas motrices.",9,5°,"Reconoce posibilidades y límites al participar en situaciones de juego e iniciación deportiva, individuales y colectivas, para valorar su desempeño y determinar posibles mejoras.."
10,"Potencialidades cognitivas, expresivas, motrices, creativas y de relación.",10,5°,"Integra sus capacidades y habilidades en situaciones lúdicas y expresivas (individuales y colectivas), para lograr mayor seguridad y confianza.."
11,Estilos de vida activos y saludables.,11,5°,"Plantea alternativas de actividades físicas que puede practicar dentro y fuera de la escuela, con la intención de desarrollar un estilo de vida activo.."
12,"Pensamiento lúdico, estratégico y creativo.",12,5°,"Planifica e implementa estrategias ante situaciones de juego y cotidianas, para contar con opciones que incrementen la efectividad de su actuación.."
13,Interacción motriz.,13,5°,"Promueve ambientes de participación en situaciones de juego, iniciación deportiva y cotidianas, para valorar posibles interacciones en favor de una sana convivencia.."
14,Acciones individuales que repercuten en la conservación y mejora de la salud.,14,5°,"Construye alternativas saludables y sostenibles asociadas con hábitos de higiene personal y limpieza de los espacios, para promover la toma de conciencia sobre su impacto en el bienestar personal y social."
14,Acciones individuales que repercuten en la conservación y mejora de la salud.,14,5°,"Analiza los hábitos alimentarios presentes en la familia y comunidad, para valorar su impacto en favor de un consumo responsable."
14,Acciones individuales que repercuten en la conservación y mejora de la salud.,14,5°,"Practica diversas estrategias que permiten reaccionar a cambios o afrontar situaciones de riesgo relacionadas con accidentes, adicciones y formas de violencia, para favorecer el bienestar personal y colectivo.."
15,Sentido de comunidad y satisfacción d necesidades humanas.,15,5°,"Argumenta acerca de la pertinencia de ideas, conocimientos y prácticas culturales de la comunidad, para valorar sus beneficios y áreas de oportunidad en favor del bienestar individual y colectivo."
15,Sentido de comunidad y satisfacción d necesidades humanas.,15,5°,"Experimenta formas de organización y representación gráfica, así como medios, recursos y procesos empleados en la satisfacción de necesidades, con el fin de proponer mejorar orientadas a fomentar el desarrollo sostenible.."
16,"Toma de decisiones y creatividad, ante problemas de la vida.",16,5°,"Describe los problemas que se presentan en su vida, para reflexionar sobre posibles soluciones."
16,"Toma de decisiones y creatividad, ante problemas de la vida.",16,5°,Reflexiona sobre las posibles alternativas de solución ante problemas para analizar la toma de decisiones.
16,"Toma de decisiones y creatividad, ante problemas de la vida.",16,5°,Valora si en la toma de decisiones interviene causa-efecto para establecer causalidades del problema o se sustenta en el juicio crítico..
17,Los afectos y su influencia en el bienestar.,17,5°,"Distingue los factores que influyen en el estado de ánimo y la vida cotidiana, para mejorar la convivencia y el autocuidado."
17,Los afectos y su influencia en el bienestar.,17,5°,Explora las reacciones emocionales ante diversas situaciones y contextos para mejorar la convivencia..
