Contenido #,Contenido,PDA #,Grado,Descripción
1,"Las familias como espacio para el desarrollo del sentido de pertenencia y autonomía, para una sana convivencia.",1,5°,"Participa en distintas formas de convivencia en la familia, para fortalecer su sentido de pertenencia y afecto."
1,"Las familias como espacio para el desarrollo del sentido de pertenencia y autonomía, para una sana convivencia.",1,5°,"Reflexiona acerca de los valores heredades de la familia, para el desarrollo de una sana convivencia en la escuela y la comunidad."
1,"Las familias como espacio para el desarrollo del sentido de pertenencia y autonomía, para una sana convivencia.",1,6°,"Diseña e interactúa en distintos escenarios de convivencia, para fortalecer su autonomía y su participación en la familia."
1,"Las familias como espacio para el desarrollo del sentido de pertenencia y autonomía, para una sana convivencia.",1,6°,"Promueve los valores familiares, para la resolución de conflictos y el desarrollo personal.."
2,Alternativas ante conflictos y problemas de la vida en la comunidad.,2,5°,"Reflexiona sobre los conflictos que tiene en la familia, para valorar las posibles alternativas de solución."
2,Alternativas ante conflictos y problemas de la vida en la comunidad.,2,5°,"Valora la pertinencia del diálogo, para solucionar los conflictos interpersonales.."
2,Alternativas ante conflictos y problemas de la vida en la comunidad.,2,6°,"Reflexiona y comparte los problemas y conflictos que se presentan en su comunidad, para proponer alternativas de solución viables."
2,Alternativas ante conflictos y problemas de la vida en la comunidad.,2,6°,Valora propuestas de alternativas que plantea para valorar su viabilidad en su comunidad..
3,La escuela como ventana hacia el futuro.,3,5°,"Intercambia experiencias de estudio, para visualizar las opciones que tiene en su futuro."
3,La escuela como ventana hacia el futuro.,3,5°,"Reflexiona sobre sus preferencias, para imaginar sus proyectos de vida.."
3,La escuela como ventana hacia el futuro.,3,6°,"Indaga sobre experiencias de estudio y comunidades de práctica, para ampliar sus horizontes de formación."
3,La escuela como ventana hacia el futuro.,3,6°,"Se informa acerca de la oferta educativa en su región, para identificar sus posibilidades de ingreso al nivel de educación media.."
4,"La comunidad, como espacio para el aprendizaje y el bienestar común.",4,5°,"Argumenta la pertinencia y vigencia de las ideas, conocimientos y prácticas culturales de su comunidad, para valorar sus beneficios en el bienestar común."
4,"La comunidad, como espacio para el aprendizaje y el bienestar común.",4,5°,"Experimenta diferentes tipos de organización, medios, recursos y procesos, para contribuir en el desarrollo sustentable de su comunidad.."
4,"La comunidad, como espacio para el aprendizaje y el bienestar común.",4,6°,"Profundiza acerca de ideas, conocimientos y prácticas culturales, para proponer alternativas orientadas a promover, preservar y difundir para el bien común."
4,"La comunidad, como espacio para el aprendizaje y el bienestar común.",4,6°,"Diseña, bajo los principios de respeto, y tolerancia, estrategias de organización ante diferentes situaciones, para la prevención de conflictos, la satisfacción de necesidades comunes y el desarrollo sustentable de su comunidad.."
5,"Formas de ser, pensar, actuar y relacionarse.",5,5°,"Reflexiona acerca de las formas de ser, pensar, actuar y relacionarse que tienen las personas y los factores que originan para propiciar el entendimiento mutuo.."
5,"Formas de ser, pensar, actuar y relacionarse.",5,6°,"Valora sus experiencias acerca de las formas de ser, pensar, actuar y relacionarse en determinadas situaciones, para favorecer su comprensión, el ejercicio de la empatía y el logro de metas.."
6,Construcción del proyecto de vida.,6,5°,"Replantea las formas de satisfacer las necesidades e intereses, para promover la autodeterminación orientada al cumplimiento de metas."
6,Construcción del proyecto de vida.,6,5°,"Analiza los intereses individuales y aquellos que comparte, para identificar situaciones en las que se requiere pedir apoyo y en las que se pueden acordar propuestas conjuntas.."
6,Construcción del proyecto de vida.,6,6°,Valora sus logros y retos afrontados en la historia personal para definir aspiraciones y acciones a realizar ante nuevas etapas de la vida.
6,Construcción del proyecto de vida.,6,6°,"Valora logros y cambios en gustos, necesidades, intereses y habilidades actuales, para reestructurar metas que favorezcan el desarrollo personal y social.."
7,Educación integral en Sexualidad.,7,5°,"Intercambia experiencias acerca de sensaciones de placer o displacer que se presentan en la interacción, para argumentar las causas, prever situaciones de riesgo y realizar prácticas seguras.."
7,Educación integral en Sexualidad.,7,6°,Reflexiona acerca de la importancia de expresar su consentimiento o rechazo ante situaciones que le generan placeres y displaceres para valorar las implicaciones en su bienestar..
8,Equidad de género.,8,5°,"Reflexiona sobre situaciones asociadas con la diversidad de identidades y género, para proponer acciones en contra de la discriminación.."
8,Equidad de género.,8,6°,"Analiza situaciones de discriminación asociadas con la identidad o género en la escuela, la comunidad y otros ámbitos, para reconocer formas de violencia y participar en acciones de prevención.."
9,"Capacidades, habilidades y destrezas motrices.",9,5°,"Reconoce posibilidades y límites al participar en situaciones de juego e iniciación deportiva, individuales y colectivas, para valorar su desempeño y determinar posibles mejoras.."
9,"Capacidades, habilidades y destrezas motrices.",9,6°,"Aplica sus capacidades, habilidades y destrezas motrices al organizar y participar en situaciones de juego e iniciación deportiva, para favorecer su disponibilidad corporal.."
10,"Potencialidades cognitivas, expresivas, motrices, creativas y de relación.",10,5°,"Integra sus capacidades y habilidades en situaciones lúdicas y expresivas (individuales y colectivas), para lograr mayor seguridad y confianza.."
10,"Potencialidades cognitivas, expresivas, motrices, creativas y de relación.",10,6°,"Diseña propuestas de actividades lúdicas y expresivas a partir de sus intereses, capacidades y habilidades, para fortalecer su imagen corporal.."
11,Estilos de vida activos y saludables.,11,5°,"Plantea alternativas de actividades físicas que puede practicar dentro y fuera de la escuela, con la intención de desarrollar un estilo de vida activo.."
11,Estilos de vida activos y saludables.,11,6°,"Evalúa los factores que limitan la práctica constante de actividades físicas, para implementar opciones que permitan superarlos a lo largo de la vida.."
12,"Pensamiento lúdico, estratégico y creativo.",12,5°,"Planifica e implementa estrategias ante situaciones de juego y cotidianas, para contar con opciones que incrementen la efectividad de su actuación.."
12,"Pensamiento lúdico, estratégico y creativo.",12,6°,"Emplea el pensamiento estratégico y divergente ante situaciones de juego o cotidianas, para valorar la actuación individual y colectiva, y adaptarla de acuerdo con el contexto.."
13,Interacción motriz.,13,5°,"Promueve ambientes de participación en situaciones de juego, iniciación deportiva y cotidianas, para valorar posibles interacciones en favor de una sana convivencia.."
13,Interacción motriz.,13,6°,"Organiza e implementa situaciones de juego e iniciación deportiva, para favorecer la convivencia en la escuela y la comunidad.."
14,Acciones individuales que repercuten en la conservación y mejora de la salud.,14,5°,"Construye alternativas saludables y sostenibles asociadas con hábitos de higiene personal y limpieza de los espacios, para promover la toma de conciencia sobre su impacto en el bienestar personal y social."
14,Acciones individuales que repercuten en la conservación y mejora de la salud.,14,5°,"Analiza los hábitos alimentarios presentes en la familia y comunidad, para valorar su impacto en favor de un consumo responsable."
14,Acciones individuales que repercuten en la conservación y mejora de la salud.,14,5°,"Practica diversas estrategias que permiten reaccionar a cambios o afrontar situaciones de riesgo relacionadas con accidentes, adicciones y formas de violencia, para favorecer el bienestar personal y colectivo.."
14,Acciones individuales que repercuten en la conservación y mejora de la salud.,14,6°,"Promueve alternativas de hábitos de higiene personal y limpieza de los espacios en la comunidad, para impulsar la toma de decisiones informadas que contribuyan a asumir practicas saludables y sostenibles."
14,Acciones individuales que repercuten en la conservación y mejora de la salud.,14,6°,"Comprende los riesgos del consumo de alimentos procesados y ultraprocesados en la salud y el medio ambiente, para favorecer la adopción de prácticas alimentarias saludables y sostenibles."
14,Acciones individuales que repercuten en la conservación y mejora de la salud.,14,6°,"Diseña alternativas que contribuyen a afrontar cambios o situaciones de riesgo relacionadas con accidentes, adicciones y formas de violencia, para valorar su pertinencia y determinar su viabilidad.."
15,Sentido de comunidad y satisfacción d necesidades humanas.,15,5°,"Argumenta acerca de la pertinencia de ideas, conocimientos y prácticas culturales de la comunidad, para valorar sus beneficios y áreas de oportunidad en favor del bienestar individual y colectivo."
15,Sentido de comunidad y satisfacción d necesidades humanas.,15,5°,"Experimenta formas de organización y representación gráfica, así como medios, recursos y procesos empleados en la satisfacción de necesidades, con el fin de proponer mejorar orientadas a fomentar el desarrollo sostenible.."
15,Sentido de comunidad y satisfacción d necesidades humanas.,15,6°,"Diseña alternativas orientadas a promover, preservar y, en caso necesario, replantear ideas, conocimientos y prácticas culturales, para impulsar una mayor difusión y participación."
15,Sentido de comunidad y satisfacción d necesidades humanas.,15,6°,"Diseña de manera consensuada, estrategias de organización ante diferentes situaciones que impliquen cambios que pueden generar resistencia, para preservación de problemas y satisfacción de necesidades, así como el aprovechamiento responsable y sostenible de recursos.."
16,"Toma de decisiones y creatividad, ante problemas de la vida.",16,5°,"Describe los problemas que se presentan en su vida, para reflexionar sobre posibles soluciones."
16,"Toma de decisiones y creatividad, ante problemas de la vida.",16,5°,Reflexiona sobre las posibles alternativas de solución ante problemas para analizar la toma de decisiones.
16,"Toma de decisiones y creatividad, ante problemas de la vida.",16,5°,Valora si en la toma de decisiones interviene causa-efecto para establecer causalidades del problema o se sustenta en el juicio crítico..
16,"Toma de decisiones y creatividad, ante problemas de la vida.",16,6°,Describe los problemas de vida que ha enfrentado para reflexionar sobre su resolución con base en el juicio crítico.
16,"Toma de decisiones y creatividad, ante problemas de la vida.",16,6°,Valora su capacidad creadora para la solución de problemas en la vida y en su comunidad con base en el juicio crítico.
16,"Toma de decisiones y creatividad, ante problemas de la vida.",16,6°,Evalúa la asertividad para expresar sus emociones sin perjudicar a otra persona.
16,"Toma de decisiones y creatividad, ante problemas de la vida.",16,6°,Dramatiza una propuesta de juicio crítico en la toma de decisiones para discernir la solución de los problemas de la vida..
17,Los afectos y su influencia en el bienestar.,17,5°,"Distingue los factores que influyen en el estado de ánimo y la vida cotidiana, para mejorar la convivencia y el autocuidado."
17,Los afectos y su influencia en el bienestar.,17,5°,Explora las reacciones emocionales ante diversas situaciones y contextos para mejorar la convivencia..
17,Los afectos y su influencia en el bienestar.,17,6°,Reflexiona sobre hábitos que afectan positiva o negativamente en el estado de ánimo para lograr el bienestar personal y social.
17,Los afectos y su influencia en el bienestar.,17,6°,"Crea estrategias que ayudan a la expresión adecuada de las emociones, y que favorecen la interacción y el bienestar personal y social.."
