Contenido #,Título
1,"Fase 5 Estructura y funcionamiento del cuerpo humano: sistemas circulatorio, respiratorio e inmunológico, y su relación con la salud ambiental, así como acciones para su cuidado."
2,"Fase 5 Etapas del desarrollo humano: proceso de reproducción y prevención de infecciones de transmisión sexual (ITS) y embarazos en adolescentes, en el marco de la salud sexual y reproductiva."
3,"Fase 5 Alimentación saludable: características de la dieta correcta, costumbres de la comunidad, riesgos del consumo de alimentos ultraprocesados y acciones para mejorar la alimentación."
4,"Fase 5 Funciones vitales que caracterizan a plantas y animales como seres vivos, y su relación con el entorno natural, así como sus cambios a través del tiempo."
5,"Fase 5 Factores que conforman la biodiversidad y el medio ambiente, la riqueza natural de México y su relevancia como parte del patrimonio biocultural de la humanidad, y la importancia de su conservación."
6,"Fase 5 Pérdida de biodiversidad, problemas medio ambientales en la comunidad, México y el mundo, así como acciones orientadas a fortalecer estilos de vida sustentables."
7,"Fase 5 Costos y beneficios del consumo de agua, energía eléctrica y combustibles en la satisfacción de necesidades personales."
8,"Fase 5 Propiedades de los materiales; dureza, flexibilidad y permeabilidad y su aplicación en la satisfacción de necesidades , caracterización de los gases con base en sus propiedades."
9,Fase 5 Cambios permanentes en los materiales y sus implicaciones en la vida diaria.
10,Fase 5 Efecto del magnetismo y de la fuerza de gravedad.
11,"Fase 5 Transformaciones de la energía térmica y eléctrica, así como su aplicación tecnológica."
12,"Fase 5 Sistema Solar y Universo: características de sus componentes, y aportaciones culturales, científicas y tecnológicas que han favorecido su conocimiento."
13,Fase 5 Estudio de los números.
14,"Fase 5 Suma y resta, su relación como operaciones inversas."
15,"Fase 5 Multiplicación y división, su relación como operaciones inversas."
16,Fase 5 Relaciones de proporcionalidad.
17,Fase 5 Cuerpos geométricos y sus características.
18,Fase 5 Figuras geométricos y sus características.
19,Fase 5 Ubicación espacial.
20,"Fase 5 Medición de la longitud, masa y capacidad."
21,"Fase 5 Perímetro, área y noción de volumen."
22,Fase 5 Organización e interpretación de datos.
23,Fase 5 Nociones de probabilidad.
