Contenido #,Contenido,PDA #,Grado,Descripción
1,"Fase 5 Estructura y funcionamiento del cuerpo humano: sistemas circulatorio, respiratorio e inmunológico, y su relación con la salud ambiental, así como acciones para su cuidado.",1,5°,"Describe y representa mediante modelos, la relación de la nariz, tráquea y pulmones, como parte del sistema respiratorio, con el intercambio de gases."
1,"Fase 5 Estructura y funcionamiento del cuerpo humano: sistemas circulatorio, respiratorio e inmunológico, y su relación con la salud ambiental, así como acciones para su cuidado.",1,5°,"Indaga y explica con modelos, la función general del corazón y los vasos sanguíneos (arterias y venas), que forman parte del sistema circulatorio y su relación con el intercambio de gases."
1,"Fase 5 Estructura y funcionamiento del cuerpo humano: sistemas circulatorio, respiratorio e inmunológico, y su relación con la salud ambiental, así como acciones para su cuidado.",1,5°,"Comprende que la frecuencia cardiaca es el número de latidos del corazón en un minuto, que se puede medir en los puntos en los que se ubican arterias (muñecas, cuello, tobillos) a través del pulso cardíaco; establece relaciones entre la actividad física y la frecuencia cardíaca."
1,"Fase 5 Estructura y funcionamiento del cuerpo humano: sistemas circulatorio, respiratorio e inmunológico, y su relación con la salud ambiental, así como acciones para su cuidado.",1,5°,Indaga los factores del medio ambiente que inciden en la salud de los sistemas circulatorio y respiratorio; propone y práctica acciones para prevenir infecciones y enfermedades y favorecer su cuidado.
1,"Fase 5 Estructura y funcionamiento del cuerpo humano: sistemas circulatorio, respiratorio e inmunológico, y su relación con la salud ambiental, así como acciones para su cuidado.",1,6°,"Explica la participación del sistema inmunológico en la defensa y protección del cuerpo humano ante infecciones y enfermedades, algunas de las células y órganos que lo conforman, sin profundizar en características y funciones específicas"
1,"Fase 5 Estructura y funcionamiento del cuerpo humano: sistemas circulatorio, respiratorio e inmunológico, y su relación con la salud ambiental, así como acciones para su cuidado.",1,6°,"Describe los beneficios y practica acciones para fortalecer y cuidar el sistema inmunológico: vacunación, higiene, alimentación saludable, consumo de agua simple potable, descanso, actividades físicas y recreativas."
1,"Fase 5 Estructura y funcionamiento del cuerpo humano: sistemas circulatorio, respiratorio e inmunológico, y su relación con la salud ambiental, así como acciones para su cuidado.",1,6°,"Argumenta la importancia de las vacunas como aportes científicos y tecnológicos para prevenir enfermedades transmisibles y de la Cartilla Nacional de Salud para dar seguimiento a su estado de salud, así como de prácticas culturales para prevenirlas."
1,"Fase 5 Estructura y funcionamiento del cuerpo humano: sistemas circulatorio, respiratorio e inmunológico, y su relación con la salud ambiental, así como acciones para su cuidado.",1,6°,"Explica los factores que ponen en riesgo la salud y aquellos que la favorecen al analizar diversas situaciones y propone acciones para reducir la propagación de enfermedades transmisibles en los entornos familiar, escolar y comunitario."
2,"Fase 5 Etapas del desarrollo humano: proceso de reproducción y prevención de infecciones de transmisión sexual (ITS) y embarazos en adolescentes, en el marco de la salud sexual y reproductiva.",2,5°,"Describe a la infancia, adolescencia, madurez y vejez como parte del desarrollo humano, así como las características, necesidades, responsabilidades, formas de pensar y cuidados generales en cada una de ellas"
2,"Fase 5 Etapas del desarrollo humano: proceso de reproducción y prevención de infecciones de transmisión sexual (ITS) y embarazos en adolescentes, en el marco de la salud sexual y reproductiva.",2,5°,"Comprende que el embarazo es resultado de una relación sexual, a partir de escribir y representar con modelos el proceso general de la reproducción en los seres humanos: fecundación, embarazo y parto, que implica la toma de decisiones libres e informadas y su prevención y planificación es responsabilidad tanto de hombres como de mujeres, y que forma parte de sus derechos sexuales y reproductivos."
2,"Fase 5 Etapas del desarrollo humano: proceso de reproducción y prevención de infecciones de transmisión sexual (ITS) y embarazos en adolescentes, en el marco de la salud sexual y reproductiva.",2,5°,"Analiza diversas situaciones acordes a su contexto relacionadas con el ejercicio de la sexualidad para reconocerlo como un derecho de todas las personas, y de vivirla de manera libre, informada, segura como de parte de la salud sexual."
2,"Fase 5 Etapas del desarrollo humano: proceso de reproducción y prevención de infecciones de transmisión sexual (ITS) y embarazos en adolescentes, en el marco de la salud sexual y reproductiva.",2,5°,"Argumenta acerca de la importancia de los vínculos afectivos, la igualdad, el respeto, la comunicación en las relaciones de pareja, con la finalidad de prevenir violencia en el noviazgo y embarazos en la adolescencia, considerando su proyecto de vida y el inicio de la actividad sexual."
2,"Fase 5 Etapas del desarrollo humano: proceso de reproducción y prevención de infecciones de transmisión sexual (ITS) y embarazos en adolescentes, en el marco de la salud sexual y reproductiva.",2,6°,"Analiza y argumenta las implicaciones y riesgos del embarazo a temprana edad o en adolescentes, y las consecuencias en los ámbitos de salud, personal, familiar, educativo, social y económico."
2,"Fase 5 Etapas del desarrollo humano: proceso de reproducción y prevención de infecciones de transmisión sexual (ITS) y embarazos en adolescentes, en el marco de la salud sexual y reproductiva.",2,6°,"Toma decisiones responsables e informadas relacionadas con la salud sexual y reproductiva, a partir de comprender que el ejercicio de la sexualidad es una decisión propia, en la que permean los valores, formas de pensar de cada persona y la cultura, y forma parte de los derechos sexuales."
2,"Fase 5 Etapas del desarrollo humano: proceso de reproducción y prevención de infecciones de transmisión sexual (ITS) y embarazos en adolescentes, en el marco de la salud sexual y reproductiva.",2,6°,"Compara y argumenta ventajas y desventajas de llevar a cabo conductas sexuales responsables para evitar embarazos e ITS, incluido el VIH: uso del condón, retraso de la actividad sexual o la abstención."
2,"Fase 5 Etapas del desarrollo humano: proceso de reproducción y prevención de infecciones de transmisión sexual (ITS) y embarazos en adolescentes, en el marco de la salud sexual y reproductiva.",2,6°,"Analiza creencias e ideas falsas en torno a las ITS, con base en las vías de transmisión y prevención, el uso de métodos anticonceptivos (variedad, efectividad y accesibilidad) y las conductas de autocuidado."
2,"Fase 5 Etapas del desarrollo humano: proceso de reproducción y prevención de infecciones de transmisión sexual (ITS) y embarazos en adolescentes, en el marco de la salud sexual y reproductiva.",2,6°,"Reconoce que el consumo de alcohol y otras sustancias adictivas, el rechazo al uso de métodos anticonceptivos, entre otros, son factores que propician conductas violentas vinculadas al ejercicio de la sexualidad: abuso sexual, hostigamiento, violación, violación infantil y de género."
