Contenido #,Título
1,"Valoración de la biodiversidad; en el territorio donde se ubica la localidad, entidad, México y el mundo, valores y acciones sustentables."
2,"Valoración de la megadiversidad mexicana: megadiversidad en México, diversidad cultural, relaciones ser humano-naturaleza y representaciones distintas de las diferentes culturas o grupos sociales, sobre la biodiversidad y su manejo, acorde a sus contextos."
3,"Sustentabilidad de la biodiversidad y humanismo: rasgos de los estilos de vida y modelos de desarrollo dominantes y su impacto en la biodiversidad, implicaciones socioambientales de la preservación."
4,"Ética y biodiversidad: factores sociales que propician la convivencia armónica con el medio ambiente basada en el respeto, responsabilidad, justicia social y equidad con la naturaleza."
5,Derechos humanos: a un ambiente sano y acceso al agua potable.
6,"La responsabilidad compartida, el respeto y el consumo sustentable: acciones colectivas a favor de la protección, regeneración y preservación de la biodiversidad y el bienestar socioemocional."
7,"Riesgos de desastre y crisis humanitarias, asociados a fenómenos naturales y generados por acciones humanas: sus causas y consecuencias, para contribuir, de manera solidaria, a minimizar sus efectos."
8,"Construcción de la cultura de paz: análisis de conflictos vecinales y/o territoriales del pasado y del presente entre personas, grupos, comunidades y pueblos para identificar sus causas, cómo se desarrollaron y cómo se resolvieron, destacando el diálogo y la negociación y la tolerancia."
9,La democracia como forma de gobierno en México y su construcción a través de la historia.
10,"Cultura democrática: principios éticos que subyacen en los acuerdos, normas y leyes democráticas, importancia de su cumplimiento y evaluación de su aplicación justa, equitativa igualitaria en la vida cotidiana."
11,"Desafíos para la construcción de comunidades y sociedades inclusivas y equitativas: la violencia de género como un problema estructural, con un peso social, cultural e histórico, a fin de visibilizar sus causas y consecuencias, para erradicarlas buscando la equidad como derecho."
12,"Contribuciones al bienestar colectivo: servicios públicos e infraestructura para satisfacer las necesidades de salud, educación, esparcimiento, comunicación, seguridad y justicia de las personas que habitan la comunidad y el país, así como la rendición de cuentas y el uso transparente de los recursos como parte de una sociedad democrática."
13,"El derecho a la protección de la integridad física y mental, ante cualquier forma de maltrato, abuso o explotación de tipo sexual o laboral, así como la identificación de personas e instituciones que pueden apoyar para el ejercicio de ese derecho. La lucha por el reconocimiento de los derechos humanos: la protección de la dignidad de todas las personas y grupos sociales para vivir con gozo y armonía sin importar las diferencias."
14,La lucha por el reconocimiento de los derechos humanos: la protección de la dignidad de todas las personas y grupos sociales para vivir con gozo y armonía sin importar las diferencias.
15,"Cumplimiento de los derechos humanos: estudio de casos de actos de discriminación, racismo o violencias que suceden actualmente en México y el mundo."
16,"Valores y prácticas de los pueblos originarios y afromexicanos; el respeto, la reciprocidad y el beneficio mutuo como valores fundamentales de la relación con la naturaleza y con otras personas."
17,"Pueblos y culturas de América y el mundo: el respeto a las costumbres, tradiciones y formas de vivir de diferentes culturas."
18,Movimientos sociales en el México de los siglos XIX y XX: la Independencia y la Revolución Mexicana.
19,"México independiente: la vida cotidiana, las intervenciones extranjeras durante el siglo XIX, causas y consecuencias de conflictos territoriales, la defensa de la soberanía nacional y la conformación del estado laico. (Quinto grado)"
20,"México posrevolucionario (1917-1940): la vida cotidiana, los procesos que implicaron la reconfiguración del país en los ámbitos social, económico, político, religioso y cultural, así como el impacto en el ambiente (Sexto Grado)"
21,"Migración y derechos humanos: migración interna y externa: causas y consecuencias sociales, económicas, culturales, políticas y ambientales."
