Contenido #,Contenido,PDA #,Grado,Descripción
1,"Valoración de la biodiversidad; en el territorio donde se ubica la localidad, entidad, México y el mundo, valores y acciones sustentables.",1,5°,"Comprende la biodiversidad, su función como elemento vital en la Tierra y en el equilibrio de la biosfera, así como la importancia para la vida humana y de las demás especies."
1,"Valoración de la biodiversidad; en el territorio donde se ubica la localidad, entidad, México y el mundo, valores y acciones sustentables.",1,5°,"Compara e interpreta representaciones cartográficas de la biodiversidad de México, su entidad y localidad, reconociendo su distribución y los elementos que la hacen posible (características y dinámica del suelo, tipo de clima, altitud, latitud y continentalidad, entre otros)."
1,"Valoración de la biodiversidad; en el territorio donde se ubica la localidad, entidad, México y el mundo, valores y acciones sustentables.",1,5°,"Indaga cómo y por qué está desapareciendo la biodiversidad, incluyendo los cambios del clima global y sus riesgos para la vida."
1,"Valoración de la biodiversidad; en el territorio donde se ubica la localidad, entidad, México y el mundo, valores y acciones sustentables.",1,5°,"Propone y realiza acciones que ayuden a proteger la biodiversidad, de acuerdo con sus posibilidades, desde una perspectiva crítica.."
1,"Valoración de la biodiversidad; en el territorio donde se ubica la localidad, entidad, México y el mundo, valores y acciones sustentables.",1,6°,"Comprende la biodiversidad en la Tierra, su sistema de relaciones e interdependencia global."
1,"Valoración de la biodiversidad; en el territorio donde se ubica la localidad, entidad, México y el mundo, valores y acciones sustentables.",1,6°,"Interpreta representaciones cartográficas de la riqueza en biodiversidad de continentes (África, América, Antártida, Asia, Europa, Oceanía), aguas oceánicas y continentales."
1,"Valoración de la biodiversidad; en el territorio donde se ubica la localidad, entidad, México y el mundo, valores y acciones sustentables.",1,6°,"Explica los procesos ecosistémicos de la biodiversidad, en relación con la circulación de energía, mediante las interacciones entre los seres humanos, otros seres vivos, el agua, el aire y el suelo, así como sus beneficios ambientales.."
1,"Valoración de la biodiversidad; en el territorio donde se ubica la localidad, entidad, México y el mundo, valores y acciones sustentables.",1,6°,"Comprende relaciones sociales económicas, culturas y políticas en diversas interacciones medidas por intereses (formas de producción, abastecimiento, distribución, estilos de consumo en el mundo, percepciones del entorno, tradiciones alimenticias, culturales, identidad cultural, sentido de pertinencia, inspiración estética o espiritual), así como formas de concebir la naturaleza, que favorecen relaciones armónicas o desfavorecen su integridad y su función para la vida incidiendo en el desbalance de la biósfera como la evidencia el cambio climático."
1,"Valoración de la biodiversidad; en el territorio donde se ubica la localidad, entidad, México y el mundo, valores y acciones sustentables.",1,6°,"Analiza críticamente formas de cuidar, respetar y proteger la biodiversidad sustentablemente.."
2,"Valoración de la megadiversidad mexicana: megadiversidad en México, diversidad cultural, relaciones ser humano-naturaleza y representaciones distintas de las diferentes culturas o grupos sociales, sobre la biodiversidad y su manejo, acorde a sus contextos.",2,5°,"Comprende por qué México es un país biodiverso y biocultural, así como la biodiversidad local y su influencia en las tradiciones culturales de la comunidad (cultivos, alimentos, indumentaria, herbolaria, fiestas, ritos, entre otras)."
2,"Valoración de la megadiversidad mexicana: megadiversidad en México, diversidad cultural, relaciones ser humano-naturaleza y representaciones distintas de las diferentes culturas o grupos sociales, sobre la biodiversidad y su manejo, acorde a sus contextos.",2,5°,"Reconoce que los grupos sociales generan conocimientos distintos sobre la biodiversidad y su manejo, acorde a sus contextos y que éstos influyen en la conformación de culturas diversas con formas propias de representar el mundo, la vida y sus relaciones con la naturaleza, entre sí y con los otros.."
2,"Valoración de la megadiversidad mexicana: megadiversidad en México, diversidad cultural, relaciones ser humano-naturaleza y representaciones distintas de las diferentes culturas o grupos sociales, sobre la biodiversidad y su manejo, acorde a sus contextos.",2,6°,"Investiga sobre las características geográficas y las regiones biogeográficas que hacen de México un país megadiverso y biocultural, relacionándolas con las zonas climáticas, los espacios económicos, la distribución de la población en México y los países con mayor biodiversidad."
2,"Valoración de la megadiversidad mexicana: megadiversidad en México, diversidad cultural, relaciones ser humano-naturaleza y representaciones distintas de las diferentes culturas o grupos sociales, sobre la biodiversidad y su manejo, acorde a sus contextos.",2,6°,"Analiza y argumenta cómo la biodiversidad local influye en las tradiciones culturales de la comunidad (cultivos, alimentos, indumentaria, herbolaria, fiestas, ritos, entre otras).."
2,"Valoración de la megadiversidad mexicana: megadiversidad en México, diversidad cultural, relaciones ser humano-naturaleza y representaciones distintas de las diferentes culturas o grupos sociales, sobre la biodiversidad y su manejo, acorde a sus contextos.",2,6°,"Argumenta por qué la megadiversidad de México es parte de su patrimonio biocultural, para comprender su estrecha vinculación con el desarrollo social, la salud y el bienestar de la población, y ejemplifica elementos del patrimonio biocultural de México reconocidos a nivel mundial.."
3,"Sustentabilidad de la biodiversidad y humanismo: rasgos de los estilos de vida y modelos de desarrollo dominantes y su impacto en la biodiversidad, implicaciones socioambientales de la preservación.",3,5°,"Analiza críticamente estilos de vida y modelos de desarrollo dominantes en las sociedades del Mundo y de México a través del tiempo, así como su impacto desfavorable en la biodiversidad y el ambiente de su comunidad y del país (plantas, animales, suelos, aire, cuerpos de agua, manglares, agricultura, salud humana, entre otros)."
3,"Sustentabilidad de la biodiversidad y humanismo: rasgos de los estilos de vida y modelos de desarrollo dominantes y su impacto en la biodiversidad, implicaciones socioambientales de la preservación.",3,5°,"Argumenta críticamente cómo es que, bajo el ideal de satisfacer las necesidades, los patrones de producción y venta de consumibles se vinculan con la extracción de los bienes naturales, el consumo irracional de energía en su procesamiento y desecho, y los riesgos ambientales locales y globales.."
3,"Sustentabilidad de la biodiversidad y humanismo: rasgos de los estilos de vida y modelos de desarrollo dominantes y su impacto en la biodiversidad, implicaciones socioambientales de la preservación.",3,5°,"Reflexiona acerca de los valores e implicaciones socioambientales de la mercantilización de la biodiversidad, e identifica otros valores y formas de relación con la naturaleza, cuya prioridad sea la de cuidar su estabilidad y construir un mundo más seguro y humanista.."
3,"Sustentabilidad de la biodiversidad y humanismo: rasgos de los estilos de vida y modelos de desarrollo dominantes y su impacto en la biodiversidad, implicaciones socioambientales de la preservación.",3,6°,"Valora las causas y los factores sociales que impactan en la problemática ambiental, en la salud de los ecosistemas, en los seres vivos, entre otros riesgos que amenazan la continuidad de la vida en la Tierra."
3,"Sustentabilidad de la biodiversidad y humanismo: rasgos de los estilos de vida y modelos de desarrollo dominantes y su impacto en la biodiversidad, implicaciones socioambientales de la preservación.",3,6°,"Analiza críticamente las implicaciones socioambientales de la mercantilización de la biodiversidad, y propone alternativas sustentables para favorecer la estabilidad y seguridad de la convivencia humana con la naturaleza.."
3,"Sustentabilidad de la biodiversidad y humanismo: rasgos de los estilos de vida y modelos de desarrollo dominantes y su impacto en la biodiversidad, implicaciones socioambientales de la preservación.",3,6°,"Propone y realiza acciones de consumo sustentable en su casa, escuela y comunidad para proteger y contribuir a regenerar y preservar la biodiversidad."
3,"Sustentabilidad de la biodiversidad y humanismo: rasgos de los estilos de vida y modelos de desarrollo dominantes y su impacto en la biodiversidad, implicaciones socioambientales de la preservación.",3,6°,"Dialoga acerca de qué manera, los posibles efectos del cambio climático pueden afectar a la biodiversidad y a las personas de acuerdo con el género y la edad o si viven en zona urbana o rural.."
4,"Ética y biodiversidad: factores sociales que propician la convivencia armónica con el medio ambiente basada en el respeto, responsabilidad, justicia social y equidad con la naturaleza.",4,5°,Dialoga acerca de los valores que necesitamos promover para conservar y proteger a la biodiversidad.
4,"Ética y biodiversidad: factores sociales que propician la convivencia armónica con el medio ambiente basada en el respeto, responsabilidad, justicia social y equidad con la naturaleza.",4,5°,"Elige y pone en práctica, de manera crítica, acciones de bienestar común para la regeneración y preservación de su biodiversidad en la vida cotidiana, promoviendo que autoridades, personas y familias de su comunidad, colaboren responsablemente para el logro de tal fin."
